epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,24.8544,1.02983,5.92194,0.03024,0.21842,0.0352,0.10737,0.07951,0.84102,8.10278,0.03745,0.000325203,0.000325203,0.000325203
2,44.1404,0.86291,2.40322,0.02517,0.20416,0.28193,0.19917,0.09031,1.97327,4.60057,0.09003,0.000645498,0.000645498,0.000645498
3,62.2573,0.83466,1.68439,0.02398,0.45017,0.57866,0.55128,0.42931,0.80866,1.60553,0.03693,0.000952592,0.000952592,0.000952592
4,80.4477,0.85443,1.45292,0.02534,0.42774,0.61764,0.49479,0.38211,0.99735,1.62597,0.04462,0.0009406,0.0009406,0.0009406
5,98.555,0.77586,1.34805,0.02266,0.52877,0.62464,0.57668,0.4358,0.97551,1.39013,0.04419,0.0009208,0.0009208,0.0009208
6,116.951,0.79046,1.34366,0.02256,0.59253,0.5941,0.65299,0.519,0.91009,1.2289,0.04168,0.000901,0.000901,0.000901
7,135.433,0.79717,1.32318,0.02304,0.49459,0.58985,0.57675,0.43933,0.97733,1.45091,0.04559,0.0008812,0.0008812,0.0008812
8,153.623,0.70448,1.247,0.02052,0.47991,0.61369,0.55212,0.39978,1.06199,1.44187,0.04973,0.0008614,0.0008614,0.0008614
9,171.84,0.67117,1.2539,0.01889,0.46545,0.69855,0.62715,0.53173,0.66935,1.16526,0.03038,0.0008416,0.0008416,0.0008416
10,190.381,0.65375,1.19857,0.01855,0.70768,0.58171,0.64054,0.52656,0.84378,1.1651,0.03885,0.0008218,0.0008218,0.0008218
11,208.533,0.63392,1.15877,0.0176,0.41025,0.66984,0.55276,0.46979,0.71452,1.35782,0.03242,0.000802,0.000802,0.000802
12,226.913,0.62074,1.17057,0.01739,0.48399,0.63635,0.63398,0.53751,0.70503,1.27234,0.0317,0.0007822,0.0007822,0.0007822
13,245.377,0.5669,1.12644,0.01543,0.45957,0.6055,0.56562,0.51025,0.51131,1.61637,0.02245,0.0007624,0.0007624,0.0007624
14,263.515,0.5894,1.16401,0.01646,0.53455,0.65721,0.64374,0.53968,0.69488,1.17825,0.03171,0.0007426,0.0007426,0.0007426
15,281.993,0.54474,1.11284,0.01488,0.57804,0.68974,0.67884,0.5904,0.60403,1.08444,0.02706,0.0007228,0.0007228,0.0007228
16,300.433,0.5725,1.13361,0.01564,0.68115,0.72101,0.75212,0.67247,0.56718,0.85675,0.02529,0.000703,0.000703,0.000703
17,318.91,0.56704,1.10788,0.01546,0.5367,0.81242,0.73268,0.64179,0.59119,0.98522,0.02646,0.0006832,0.0006832,0.0006832
18,337.148,0.56141,1.09776,0.01541,0.64506,0.6636,0.72793,0.66725,0.44828,0.92959,0.01962,0.0006634,0.0006634,0.0006634
19,355.362,0.53373,1.05733,0.01467,0.61736,0.68152,0.68266,0.6202,0.52954,1.0593,0.02362,0.0006436,0.0006436,0.0006436
20,373.557,0.52261,1.03425,0.01425,0.74096,0.64972,0.76266,0.69553,0.46586,0.93403,0.02045,0.0006238,0.0006238,0.0006238
21,392.081,0.50774,1.01359,0.01388,0.67362,0.70616,0.78011,0.69345,0.54504,0.85267,0.02425,0.000604,0.000604,0.000604
22,410.642,0.49165,0.98475,0.01355,0.64284,0.59665,0.6698,0.60883,0.44519,1.12886,0.01944,0.0005842,0.0005842,0.0005842
23,428.974,0.48705,0.96771,0.0133,0.61466,0.79423,0.76616,0.71839,0.37167,0.81336,0.01617,0.0005644,0.0005644,0.0005644
24,447.624,0.49918,0.98142,0.01359,0.57977,0.711,0.73824,0.65368,0.61042,0.90463,0.02759,0.0005446,0.0005446,0.0005446
25,465.927,0.43609,0.91865,0.01169,0.69922,0.72773,0.77076,0.66819,0.67109,0.90929,0.03022,0.0005248,0.0005248,0.0005248
26,484.283,0.4547,0.93867,0.01222,0.61482,0.80808,0.78504,0.71289,0.46805,0.84211,0.02063,0.000505,0.000505,0.000505
27,502.604,0.46256,0.94108,0.01241,0.70665,0.77103,0.81905,0.74565,0.51364,0.76241,0.02291,0.0004852,0.0004852,0.0004852
