epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,22.6827,1.13386,6.38653,0.03634,0.71265,0.05,0.09916,0.08723,0.33977,7.54434,0.01598,0.00325203,0.00325203,0.0707317
2,40.2383,0.68025,3.24783,0.02126,0.09904,0.09907,0.07868,0.0394,1.44942,5.31626,0.07358,0.00655277,0.00655277,0.0406991
3,57.6428,0.72126,2.18069,0.02286,0.15093,0.25537,0.13915,0.09572,1.16871,3.11009,0.05796,0.0098205,0.0098205,0.0106335
4,75.0332,0.80021,1.86933,0.02579,0.16858,0.56779,0.22676,0.14641,1.32413,2.14843,0.06685,0.0098515,0.0098515,0.0098515
5,92.4287,0.72485,1.59749,0.02259,0.35295,0.53677,0.36879,0.28843,0.89023,2.02209,0.04407,0.009802,0.009802,0.009802
6,109.836,0.68723,1.5236,0.02106,0.25496,0.41644,0.32625,0.2517,0.91868,1.96417,0.04499,0.0097525,0.0097525,0.0097525
7,127.192,0.69555,1.42069,0.02148,0.47605,0.52263,0.52595,0.42586,0.6852,1.60348,0.03257,0.009703,0.009703,0.009703
8,144.818,0.66224,1.36119,0.01997,0.40075,0.58448,0.56093,0.50764,0.5225,1.3357,0.02498,0.0096535,0.0096535,0.0096535
9,162.333,0.63805,1.31612,0.01914,0.56605,0.6296,0.6503,0.57811,0.5323,1.1883,0.02578,0.009604,0.009604,0.009604
10,179.837,0.61305,1.3296,0.01869,0.60086,0.62735,0.67428,0.60773,0.44042,1.09939,0.02112,0.0095545,0.0095545,0.0095545
11,197.363,0.61567,1.2848,0.01842,0.36651,0.62146,0.57774,0.51499,0.46875,1.26821,0.02242,0.009505,0.009505,0.009505
12,214.817,0.61738,1.25553,0.01834,0.4997,0.61331,0.61015,0.53491,0.58409,1.16045,0.02836,0.0094555,0.0094555,0.0094555
13,232.251,0.59797,1.21018,0.0179,0.49669,0.6308,0.55657,0.48962,0.6137,1.17298,0.03055,0.009406,0.009406,0.009406
14,249.554,0.5827,1.16687,0.01724,0.44054,0.67191,0.64712,0.57342,0.50752,1.24118,0.02443,0.0093565,0.0093565,0.0093565
15,266.946,0.57794,1.21067,0.0171,0.44022,0.54911,0.51977,0.41553,0.86044,1.32173,0.04284,0.009307,0.009307,0.009307
16,284.308,0.55725,1.10205,0.01634,0.48688,0.60103,0.52533,0.45897,0.56492,1.36374,0.02761,0.0092575,0.0092575,0.0092575
17,301.728,0.55175,1.14553,0.01647,0.66725,0.55611,0.63245,0.55921,0.5593,1.17428,0.02717,0.009208,0.009208,0.009208
18,319.171,0.55477,1.1719,0.0162,0.60658,0.5906,0.64135,0.57222,0.49976,1.07043,0.02409,0.0091585,0.0091585,0.0091585
19,336.753,0.52286,1.09226,0.01535,0.67162,0.60877,0.64832,0.5756,0.58611,1.05415,0.02827,0.009109,0.009109,0.009109
20,354.17,0.5223,1.05844,0.01522,0.55448,0.68093,0.67758,0.64784,0.31995,1.04724,0.01522,0.0090595,0.0090595,0.0090595
21,371.74,0.53681,1.02994,0.01581,0.56535,0.61722,0.60545,0.56059,0.40008,1.25905,0.01907,0.00901,0.00901,0.00901
22,389.342,0.52165,1.03634,0.01502,0.52513,0.6135,0.62242,0.5917,0.30096,1.1329,0.01438,0.0089605,0.0089605,0.0089605
23,406.822,0.52277,1.08322,0.01507,0.52756,0.64316,0.60779,0.53561,0.55582,1.20808,0.02709,0.008911,0.008911,0.008911
24,424.419,0.51983,1.06234,0.01476,0.75405,0.58137,0.72002,0.64417,0.47388,0.93893,0.0229,0.0088615,0.0088615,0.0088615
25,441.93,0.48777,1.01398,0.01397,0.78871,0.62754,0.74383,0.6602,0.552,0.89507,0.02692,0.008812,0.008812,0.008812
26,459.579,0.50436,1.03877,0.01443,0.63297,0.6851,0.72777,0.68044,0.40188,1.01859,0.01916,0.0087625,0.0087625,0.0087625
27,477.283,0.48383,1.00413,0.01396,0.53161,0.62954,0.64631,0.61337,0.38684,1.1359,0.01834,0.008713,0.008713,0.008713
28,494.802,0.486,1.03439,0.01388,0.55111,0.5798,0.62969,0.57714,0.44549,1.30741,0.02149,0.0086635,0.0086635,0.0086635
29,512.333,0.48924,0.99854,0.01374,0.54142,0.58241,0.59882,0.55616,0.3716,1.27467,0.01774,0.008614,0.008614,0.008614
30,530.013,0.4926,1.03215,0.01409,0.58095,0.65748,0.67509,0.61282,0.45478,1.13601,0.02204,0.0085645,0.0085645,0.0085645
31,547.609,0.48154,0.98932,0.0138,0.64318,0.78245,0.71833,0.69244,0.27656,0.96895,0.01298,0.008515,0.008515,0.008515
32,565.479,0.51165,1.05163,0.01481,0.42141,0.51408,0.47362,0.42606,0.49812,1.85666,0.02417,0.0084655,0.0084655,0.0084655
33,583.064,0.47157,0.9559,0.01329,0.56543,0.66162,0.70677,0.63744,0.46234,1.05421,0.02257,0.008416,0.008416,0.008416
34,602.252,0.4941,1.04096,0.01422,0.65256,0.68939,0.6869,0.67016,0.25751,1.00041,0.0122,0.0083665,0.0083665,0.0083665
35,621.984,0.48549,0.9797,0.01376,0.66222,0.72077,0.72794,0.68332,0.39039,0.93344,0.01848,0.008317,0.008317,0.008317
36,639.979,0.48822,0.9715,0.0138,0.68905,0.66517,0.65828,0.6223,0.35669,1.08719,0.01681,0.0082675,0.0082675,0.0082675
37,657.551,0.47547,0.94988,0.01362,0.639,0.6332,0.7196,0.6485,0.51613,1.08745,0.02517,0.008218,0.008218,0.008218
38,675.092,0.45571,0.90782,0.0131,0.63018,0.69019,0.70349,0.5978,0.67635,1.08451,0.03297,0.0081685,0.0081685,0.0081685
39,692.717,0.46504,0.91689,0.01298,0.55164,0.67272,0.65792,0.59426,0.46281,1.22345,0.02234,0.008119,0.008119,0.008119
40,710.379,0.47994,0.94107,0.0135,0.63548,0.64335,0.7039,0.63779,0.44571,0.99,0.02126,0.0080695,0.0080695,0.0080695
41,727.915,0.47153,0.94112,0.01338,0.66308,0.71613,0.74795,0.68786,0.39629,0.88683,0.01907,0.00802,0.00802,0.00802
42,745.614,0.44377,0.89047,0.01255,0.70268,0.68042,0.75501,0.71416,0.3763,0.91448,0.01812,0.0079705,0.0079705,0.0079705
43,763.298,0.4436,0.89056,0.01241,0.60993,0.76637,0.75033,0.71885,0.31408,0.80141,0.01497,0.007921,0.007921,0.007921
44,780.972,0.4374,0.86866,0.01221,0.65712,0.79342,0.79179,0.74097,0.35614,0.76355,0.01695,0.0078715,0.0078715,0.0078715
45,798.649,0.46562,0.8677,0.01306,0.72524,0.60249,0.7112,0.6703,0.39441,1.04111,0.01874,0.007822,0.007822,0.007822
46,816.249,0.45275,0.92809,0.0127,0.7133,0.67761,0.75628,0.68595,0.47279,1.00492,0.02256,0.0077725,0.0077725,0.0077725
47,833.699,0.4401,0.88503,0.01252,0.68821,0.66469,0.74861,0.69655,0.4095,0.98101,0.0197,0.007723,0.007723,0.007723
