============================================================
  WOUND DETECTION - YOLO26m - METRICS REPORT
============================================================
  Model         : YOLO26m
  Dataset       : AZH Clinical Wound Dataset
  Run           : runs
  Total Epochs  : 100

  BEST EPOCH BY mAP50
  --------------------------------------------------
  Epoch         : 67
  Box Loss      : 0.2953
  Class Loss    : 0.6618
  mAP50         : 0.8784  (87.8%)
  mAP50-95      : 0.8780  (87.8%)
  Precision     : 0.7457
  Recall        : 0.8614
  F1 Score      : 0.7994

  BEST EPOCH BY F1
  --------------------------------------------------
  Epoch         : 81
  Precision     : 0.8555
  Recall        : 0.7895
  F1 Score      : 0.8212

  CONFIDENCE THRESHOLD RECOMMENDATIONS
  --------------------------------------------------
  Conservative (high precision) : 0.50
  Balanced     (best F1)        : 0.35
  Sensitive    (high recall)    : 0.25  <- medical use

  FULL TRAINING HISTORY
  --------------------------------------------------
  Epoch   BoxLoss   ClsLoss    mAP50     Prec      Rec       F1
      1    1.1339    6.3865   0.0992   0.7127   0.0500   0.0934
      2    0.7039    3.2320   0.1368   0.1458   0.2829   0.1924
      3    0.7265    2.1728   0.2092   0.1727   0.4379   0.2477
      4    0.8064    1.8310   0.2941   0.1928   0.4725   0.2738
      5    0.7356    1.5538   0.3300   0.2809   0.3989   0.3297
      6    0.7300    1.4891   0.4002   0.3277   0.5625   0.4141
      7    0.6754    1.3839   0.4340   0.4690   0.4012   0.4325
      8    0.6369    1.3575   0.5406   0.4368   0.6487   0.5220
      9    0.6349    1.3041   0.2275   0.1428   0.4242   0.2137
     10    0.6071    1.2872   0.5856   0.5326   0.6197   0.5729
     11    0.5976    1.2551   0.5008   0.5270   0.4776   0.5011
     12    0.6255    1.2513   0.6634   0.6519   0.6528   0.6524
     13    0.5842    1.2023   0.5391   0.4900   0.5103   0.4999
     14    0.5571    1.1460   0.4996   0.4037   0.5589   0.4688
     15    0.5915    1.2135   0.5177   0.5010   0.5347   0.5173
     16    0.5887    1.0849   0.6011   0.5508   0.5626   0.5566
     17    0.5600    1.1227   0.6016   0.5923   0.5222   0.5550
     18    0.5395    1.1051   0.6366   0.5565   0.6531   0.6009
     19    0.5287    1.0769   0.5398   0.4759   0.5921   0.5277
     20    0.5227    1.0475   0.6452   0.5738   0.6723   0.6192
     21    0.5181    1.0253   0.5601   0.5806   0.5495   0.5647
     22    0.5240    1.0311   0.6954   0.5867   0.7082   0.6417
     23    0.5028    1.0516   0.6075   0.5359   0.5892   0.5613
     24    0.5090    1.0084   0.5301   0.5305   0.5878   0.5577
     25    0.5115    1.0078   0.6816   0.6327   0.6835   0.6571
     26    0.4837    1.0043   0.6727   0.5719   0.6724   0.6181
     27    0.4970    0.9676   0.6960   0.6474   0.6725   0.6597
     28    0.4957    1.0293   0.6291   0.4877   0.7015   0.5754
     29    0.4878    0.9280   0.6118   0.4893   0.6950   0.5742
     30    0.4789    0.9830   0.6007   0.6126   0.5502   0.5797
     31    0.4716    0.9245   0.7218   0.6819   0.6868   0.6843
     32    0.4968    1.0104   0.6690   0.6622   0.6079   0.6339
     33    0.4596    0.9069   0.7436   0.6257   0.6801   0.6517
     34    0.4583    0.9698   0.7138   0.6484   0.6964   0.6715
     35    0.4537    0.9303   0.4876   0.5383   0.4209   0.4724
     36    0.4587    0.9256   0.6768   0.5634   0.7060   0.6267
     37    0.4500    0.9347   0.5178   0.5638   0.5354   0.5493
     38    0.4251    0.8571   0.7026   0.6780   0.6353   0.6559
     39    0.4385    0.8721   0.6485   0.5856   0.6752   0.6272
     40    0.4444    0.8814   0.6166   0.6144   0.6057   0.6100
     41    0.4441    0.8879   0.7163   0.7354   0.6013   0.6616
     42    0.4234    0.8505   0.7851   0.7495   0.7137   0.7311
     43    0.4257    0.8254   0.8045   0.7996   0.7068   0.7504
     44    0.4194    0.7931   0.7127   0.6597   0.7144   0.6860
     45    0.4227    0.7912   0.7494   0.7035   0.7215   0.7124
     46    0.3950    0.8201   0.7679   0.6157   0.7625   0.6813
     47    0.4082    0.7875   0.7117   0.6539   0.6718   0.6627
     48    0.4064    0.7796   0.8016   0.6862   0.7560   0.7194
     49    0.3855    0.7241   0.7980   0.7649   0.7605   0.7627
     50    0.4116    0.8102   0.7688   0.6535   0.7265   0.6881
     51    0.3853    0.7775   0.7761   0.7377   0.6767   0.7059
     52    0.3650    0.7453   0.7798   0.6538   0.7746   0.7091
     53    0.3764    0.7790   0.7855   0.6804   0.7839   0.7285
     54    0.3816    0.7477   0.6455   0.7138   0.5832   0.6419
     55    0.3687    0.7176   0.7683   0.7356   0.7153   0.7253
     56    0.3657    0.7376   0.7022   0.7269   0.6607   0.6922
     57    0.3584    0.6963   0.7738   0.7752   0.6823   0.7257
     58    0.3676    0.7312   0.7821   0.7297   0.7244   0.7271
     59    0.3546    0.7355   0.7992   0.7309   0.7424   0.7366
     60    0.3310    0.7007   0.8240   0.7619   0.7339   0.7476
     61    0.3236    0.6551   0.8246   0.7928   0.7699   0.7811
     62    0.3678    0.7284   0.8199   0.6852   0.8040   0.7399
     63    0.3166    0.6481   0.8246   0.7745   0.7210   0.7468
     64    0.3185    0.6962   0.8551   0.8538   0.7526   0.8000
     65    0.3257    0.6490   0.8259   0.8356   0.6896   0.7556
     66    0.2998    0.6368   0.8716   0.8550   0.7483   0.7981
     67    0.2953    0.6618   0.8784   0.7457   0.8614   0.7994
     68    0.3029    0.6394   0.8457   0.7802   0.7581   0.7690
     69    0.2954    0.6462   0.8121   0.7803   0.7136   0.7455
     70    0.2821    0.6423   0.7934   0.7122   0.7175   0.7148
     71    0.2682    0.5868   0.8534   0.7806   0.8047   0.7925
     72    0.2871    0.6313   0.8463   0.7805   0.7846   0.7826
     73    0.2887    0.6092   0.8478   0.7957   0.7996   0.7977
     74    0.2720    0.6130   0.8231   0.8060   0.7467   0.7752
     75    0.2563    0.5645   0.8399   0.8086   0.7745   0.7912
     76    0.2510    0.5499   0.8335   0.8247   0.7441   0.7823
     77    0.2586    0.5867   0.7937   0.7850   0.7054   0.7431
     78    0.2512    0.5711   0.8388   0.7865   0.8249   0.8052
     79    0.2482    0.5817   0.8412   0.7760   0.8060   0.7907
     80    0.2346    0.5491   0.8619   0.7365   0.8446   0.7868
     81    0.2477    0.5738   0.8694   0.8555   0.7895   0.8212
     82    0.2436    0.5940   0.8713   0.7851   0.8378   0.8106
     83    0.2466    0.5937   0.8404   0.8136   0.7758   0.7942
     84    0.2424    0.5911   0.8533   0.8232   0.8043   0.8136
     85    0.2344    0.5766   0.8282   0.8171   0.6971   0.7523
     86    0.2280    0.5773   0.8592   0.8440   0.7435   0.7906
     87    0.2190    0.5453   0.8347   0.7402   0.8095   0.7733
     88    0.2257    0.5718   0.8586   0.8373   0.7494   0.7909
     89    0.2052    0.5234   0.8440   0.7658   0.7913   0.7783
     90    0.2052    0.5502   0.8467   0.7617   0.8119   0.7860
