============================================================
  WOUND DETECTION - YOLO26m - METRICS REPORT
============================================================
  Model         : YOLO26m
  Dataset       : AZH Clinical Wound Dataset
  Run           : runs
  Total Epochs  : 150

  BEST EPOCH BY mAP50
  --------------------------------------------------
  Epoch         : 127
  Box Loss      : 0.2106
  Class Loss    : 0.4923
  mAP50         : 0.8809  (88.1%)
  mAP50-95      : 0.8735  (87.4%)
  Precision     : 0.8406
  Recall        : 0.8165
  F1 Score      : 0.8284

  BEST EPOCH BY F1
  --------------------------------------------------
  Epoch         : 144
  Precision     : 0.8392
  Recall        : 0.8256
  F1 Score      : 0.8324

  CONFIDENCE THRESHOLD RECOMMENDATIONS
  --------------------------------------------------
  Conservative (high precision) : 0.50
  Balanced     (best F1)        : 0.35
  Sensitive    (high recall)    : 0.25  <- medical use

  FULL TRAINING HISTORY
  --------------------------------------------------
  Epoch   BoxLoss   ClsLoss    mAP50     Prec      Rec       F1
      1    1.1339    6.3865   0.0992   0.7127   0.0500   0.0934
      2    0.6998    3.2627   0.1703   0.1364   0.3445   0.1954
      3    0.7194    2.1968   0.1837   0.1591   0.3150   0.2114
      4    0.7864    1.8774   0.2420   0.1749   0.4507   0.2520
      5    0.7326    1.5839   0.3298   0.2405   0.5196   0.3288
      6    0.7525    1.5417   0.3865   0.3309   0.4489   0.3810
      7    0.6888    1.4584   0.4954   0.4077   0.5080   0.4523
      8    0.6409    1.3814   0.1287   0.1398   0.2744   0.1853
      9    0.6310    1.3353   0.4930   0.3673   0.5718   0.4473
     10    0.6251    1.3238   0.6083   0.4789   0.6797   0.5619
     11    0.6209    1.2946   0.2864   0.2786   0.4636   0.3480
     12    0.6281    1.2899   0.5053   0.5780   0.4595   0.5120
     13    0.6096    1.2693   0.6186   0.4596   0.6877   0.5510
     14    0.5719    1.1851   0.5454   0.5022   0.5110   0.5065
     15    0.5950    1.2377   0.4457   0.3087   0.5603   0.3981
     16    0.5715    1.1189   0.5906   0.5371   0.5603   0.5484
     17    0.5554    1.1532   0.6511   0.6147   0.5501   0.5806
     18    0.5485    1.1813   0.7127   0.7146   0.6345   0.6722
     19    0.5530    1.1215   0.6278   0.5924   0.6032   0.5978
     20    0.5272    1.0849   0.5370   0.3914   0.6150   0.4784
     21    0.5369    1.0415   0.5440   0.4849   0.5837   0.5298
     22    0.5214    1.0710   0.6722   0.5953   0.7002   0.6435
     23    0.5205    1.1111   0.5000   0.4204   0.7027   0.5260
     24    0.5209    1.0755   0.7866   0.6985   0.7782   0.7362
     25    0.5185    1.0538   0.6787   0.5925   0.6988   0.6412
     26    0.4881    1.0651   0.6704   0.5497   0.7068   0.6184
     27    0.5043    1.0600   0.7242   0.5745   0.7080   0.6343
     28    0.5062    1.0556   0.6178   0.5497   0.6664   0.6025
     29    0.5120    0.9804   0.6789   0.5616   0.6370   0.5969
     30    0.4971    1.0202   0.7405   0.5641   0.7741   0.6526
     31    0.4850    0.9820   0.6383   0.4886   0.6677   0.5643
     32    0.4917    1.0616   0.6897   0.6209   0.6400   0.6303
     33    0.4887    0.9559   0.7313   0.6684   0.6389   0.6533
     34    0.4884    1.0227   0.7313   0.6298   0.6984   0.6623
     35    0.4793    0.9620   0.7446   0.7016   0.7111   0.7063
     36    0.4795    0.9560   0.6743   0.6448   0.6857   0.6646
     37    0.4838    0.9583   0.7025   0.6449   0.6839   0.6638
     38    0.4579    0.9029   0.6946   0.6845   0.6593   0.6717
     39    0.4579    0.9087   0.7710   0.7561   0.7158   0.7354
     40    0.4764    0.9442   0.7141   0.6343   0.7203   0.6746
     41    0.4682    0.9489   0.7948   0.7123   0.6954   0.7037
     42    0.4477    0.9128   0.7763   0.7115   0.7152   0.7134
     43    0.4531    0.8710   0.7601   0.6863   0.6564   0.6710
     44    0.4369    0.8699   0.7227   0.6435   0.6677   0.6554
     45    0.4660    0.8659   0.8227   0.7610   0.7967   0.7784
     46    0.4579    0.8895   0.8037   0.6617   0.7906   0.7204
     47    0.4373    0.8438   0.7071   0.5945   0.7073   0.6460
     48    0.4375    0.8517   0.7584   0.6919   0.6942   0.6931
     49    0.4167    0.7941   0.7956   0.6947   0.7905   0.7395
