============================================================
  WOUND DETECTION - YOLO26m - METRICS REPORT
============================================================
  Model         : YOLO26m
  Dataset       : AZH Clinical Wound Dataset
  Run           : runs
  Total Epochs  : 50

  BEST EPOCH BY mAP50
  --------------------------------------------------
  Epoch         : 49
  Box Loss      : 0.1110
  Class Loss    : 0.2963
  mAP50         : 0.8249  (82.5%)
  mAP50-95      : 0.8212  (82.1%)
  Precision     : 0.7973
  Recall        : 0.7542
  F1 Score      : 0.7751

  BEST EPOCH BY F1
  --------------------------------------------------
  Epoch         : 49
  Precision     : 0.7973
  Recall        : 0.7542
  F1 Score      : 0.7751

  CONFIDENCE THRESHOLD RECOMMENDATIONS
  --------------------------------------------------
  Conservative (high precision) : 0.50
  Balanced     (best F1)        : 0.35
  Sensitive    (high recall)    : 0.25  <- medical use

  FULL TRAINING HISTORY
  --------------------------------------------------
  Epoch   BoxLoss   ClsLoss    mAP50     Prec      Rec       F1
      1    1.1339    6.3865   0.0992   0.7127   0.0500   0.0934
      2    0.6824    3.2088   0.1600   0.1461   0.3561   0.2072
      3    0.7323    2.1295   0.2260   0.1834   0.4608   0.2624
      4    0.7920    1.7774   0.3778   0.3120   0.6231   0.4158
      5    0.7254    1.5685   0.3286   0.2297   0.4835   0.3114
      6    0.7244    1.4727   0.4324   0.3145   0.4848   0.3815
      7    0.6752    1.3746   0.4657   0.4210   0.5094   0.4610
      8    0.6868    1.3393   0.5590   0.4384   0.6670   0.5290
      9    0.6634    1.3119   0.5935   0.4966   0.7288   0.5907
     10    0.6312    1.3184   0.5866   0.4333   0.6701   0.5263
     11    0.5924    1.2453   0.6695   0.7556   0.5602   0.6434
     12    0.6139    1.2264   0.6898   0.5312   0.7397   0.6183
     13    0.5883    1.2022   0.5240   0.4849   0.5825   0.5292
     14    0.5700    1.1192   0.5206   0.6567   0.4999   0.5677
     15    0.5794    1.1899   0.6873   0.5972   0.6386   0.6172
     16    0.5366    1.0710   0.4716   0.5078   0.4801   0.4936
     17    0.5376    1.0877   0.6111   0.5280   0.6327   0.5756
     18    0.5265    1.1046   0.5282   0.5187   0.4657   0.4908
     19    0.5169    1.0569   0.6175   0.5608   0.5972   0.5785
     20    0.5224    1.0387   0.6912   0.6025   0.6687   0.6338
     21    0.5098    0.9720   0.6535   0.6085   0.6826   0.6434
     22    0.4970    0.9935   0.6832   0.6136   0.6514   0.6319
     23    0.4683    1.0331   0.7274   0.6282   0.7737   0.6934
     24    0.4823    0.9922   0.7550   0.7242   0.7131   0.7186
     25    0.4770    0.9746   0.7401   0.6710   0.7063   0.6882
     26    0.4519    0.9545   0.7469   0.6476   0.7117   0.6782
     27    0.4454    0.9543   0.7131   0.6626   0.6565   0.6595
     28    0.4496    0.9587   0.7686   0.7482   0.6557   0.6989
     29    0.4368    0.8792   0.6829   0.6619   0.5867   0.6220
     30    0.4165    0.9480   0.7634   0.6854   0.7826   0.7308
     31    0.3889    0.8894   0.7992   0.7815   0.7153   0.7469
     32    0.4254    0.9335   0.7887   0.6887   0.7278   0.7077
     33    0.3686    0.8472   0.7549   0.7153   0.6432   0.6773
     34    0.3795    0.8982   0.8030   0.7435   0.7229   0.7331
     35    0.3592    0.8571   0.7762   0.6874   0.7421   0.7137
     36    0.3586    0.8438   0.7473   0.7093   0.6463   0.6763
     37    0.3452    0.8431   0.7852   0.6594   0.7480   0.7009
     38    0.3114    0.7847   0.7683   0.7007   0.7160   0.7083
     39    0.3207    0.7880   0.7786   0.7165   0.7498   0.7328
     40    0.3165    0.7719   0.8064   0.7810   0.7267   0.7529
     41    0.2338    0.6102   0.7973   0.7162   0.7251   0.7206
     42    0.2302    0.4551   0.7676   0.6865   0.7317   0.7084
     43    0.1888    0.4250   0.7642   0.7521   0.6502   0.6975
     44    0.2018    0.3976   0.7714   0.7319   0.7667   0.7489
     45    0.1743    0.3625   0.7917   0.7174   0.7786   0.7467
     46    0.1403    0.3339   0.8067   0.7951   0.6997   0.7444
     47    0.1370    0.3151   0.8198   0.7587   0.7825   0.7704
     48    0.1321    0.2934   0.8240   0.7854   0.7473   0.7659
     49    0.1110    0.2963   0.8249   0.7973   0.7542   0.7751
     50    0.1047    0.2827   0.8193   0.7940   0.7281   0.7596
============================================================
