============================================================
  WOUND DETECTION - YOLO26m - METRICS REPORT
============================================================
  Model         : YOLO26m
  Dataset       : AZH Clinical Wound Dataset
  Run           : runs
  Total Epochs  : 200

  BEST EPOCH BY mAP50
  --------------------------------------------------
  Epoch         : 166
  Box Loss      : 0.2288
  Class Loss    : 0.5694
  mAP50         : 0.8878  (88.8%)
  mAP50-95      : 0.8855  (88.5%)
  Precision     : 0.8349
  Recall        : 0.8338
  F1 Score      : 0.8344

  BEST EPOCH BY F1
  --------------------------------------------------
  Epoch         : 167
  Precision     : 0.8625
  Recall        : 0.8149
  F1 Score      : 0.8380

  CONFIDENCE THRESHOLD RECOMMENDATIONS
  --------------------------------------------------
  Conservative (high precision) : 0.50
  Balanced     (best F1)        : 0.35
  Sensitive    (high recall)    : 0.25  <- medical use

  FULL TRAINING HISTORY
  --------------------------------------------------
  Epoch   BoxLoss   ClsLoss    mAP50     Prec      Rec       F1
      1    0.9816    5.4398   0.0069   0.0033   0.6363   0.0066
      2    0.6175    4.8476   0.0319   0.0046   0.9480   0.0093
      3    0.5869    4.4831   0.0674   0.0039   0.9917   0.0078
      4    0.6484    4.2402   0.1684   0.0046   1.0000   0.0091
      5    0.6710    3.8405   0.2170   0.4460   0.2074   0.2832
      6    0.6957    3.4629   0.2429   0.5128   0.3122   0.3881
      7    0.6859    3.1205   0.2981   0.2168   0.4595   0.2946
      8    0.6471    2.7981   0.3771   0.5040   0.3786   0.4324
      9    0.6431    2.6159   0.5102   0.4175   0.5851   0.4873
     10    0.6342    2.4743   0.4932   0.4119   0.5205   0.4599
     11    0.6343    2.2825   0.3926   0.2457   0.5555   0.3408
     12    0.6320    2.1946   0.5426   0.4576   0.6200   0.5265
     13    0.6281    2.0815   0.4868   0.4175   0.5206   0.4634
     14    0.5833    1.9406   0.6038   0.5091   0.5494   0.5285
     15    0.6066    1.9001   0.6016   0.4693   0.5630   0.5119
     16    0.5590    1.7625   0.6511   0.6041   0.6499   0.6261
     17    0.5790    1.7161   0.6135   0.5804   0.6340   0.6060
     18    0.5623    1.7127   0.5020   0.3886   0.4925   0.4344
     19    0.5302    1.6406   0.7074   0.6757   0.6818   0.6788
     20    0.5452    1.5730   0.6359   0.5285   0.5821   0.5540
     21    0.5082    1.5183   0.6537   0.5745   0.7241   0.6407
     22    0.5332    1.4803   0.6865   0.6393   0.6788   0.6585
     23    0.5472    1.5262   0.6516   0.5366   0.7318   0.6191
     24    0.5500    1.4446   0.6228   0.5233   0.6589   0.5834
     25    0.4951    1.4206   0.7213   0.6089   0.7093   0.6553
     26    0.5214    1.3929   0.7131   0.5915   0.7503   0.6615
     27    0.5040    1.3617   0.6528   0.5707   0.7460   0.6467
     28    0.5252    1.3879   0.6767   0.5728   0.7004   0.6302
     29    0.5291    1.2840   0.6683   0.5559   0.7424   0.6358
     30    0.5072    1.3244   0.7267   0.7104   0.6880   0.6990
     31    0.4954    1.2700   0.7519   0.7215   0.7100   0.7157
     32    0.5050    1.3362   0.6367   0.5747   0.6649   0.6166
     33    0.5022    1.2142   0.7261   0.6308   0.7137   0.6697
     34    0.4948    1.2585   0.6776   0.6428   0.5617   0.5995
     35    0.5029    1.2292   0.7446   0.6532   0.6920   0.6720
