============================================================
  WOUND DETECTION - YOLO26m - METRICS REPORT
============================================================
  Model         : YOLO26m
  Dataset       : AZH Clinical Wound Dataset
  Run           : runs
  Total Epochs  : 100

  BEST EPOCH BY mAP50
  --------------------------------------------------
  Epoch         : 97
  Box Loss      : 0.1493
  Class Loss    : 0.1995
  mAP50         : 0.8685  (86.8%)
  mAP50-95      : 0.7841  (78.4%)
  Precision     : 0.8096
  Recall        : 0.8306
  F1 Score      : 0.8200

  BEST EPOCH BY F1
  --------------------------------------------------
  Epoch         : 100
  Precision     : 0.8054
  Recall        : 0.8528
  F1 Score      : 0.8284

  CONFIDENCE THRESHOLD RECOMMENDATIONS
  --------------------------------------------------
  Conservative (high precision) : 0.50
  Balanced     (best F1)        : 0.35
  Sensitive    (high recall)    : 0.25  <- medical use

  FULL TRAINING HISTORY
  --------------------------------------------------
  Epoch   BoxLoss   ClsLoss    mAP50     Prec      Rec       F1
      1    1.0298    5.9219   0.1074   0.2184   0.0352   0.0606
      2    0.8727    2.3803   0.2589   0.2228   0.4974   0.3078
      3    0.9082    1.6873   0.5236   0.5658   0.5489   0.5572
      4    0.8675    1.4980   0.2912   0.2745   0.4198   0.3319
      5    0.7950    1.3629   0.4966   0.4466   0.5644   0.4987
      6    0.8007    1.3730   0.3840   0.4225   0.3461   0.3805
      7    0.7281    1.3089   0.5507   0.4909   0.6094   0.5438
      8    0.7083    1.2703   0.6052   0.5813   0.6551   0.6160
      9    0.7208    1.2993   0.7468   0.5738   0.7323   0.6434
     10    0.6403    1.2152   0.5270   0.3799   0.6450   0.4782
     11    0.6319    1.1993   0.6065   0.6490   0.5587   0.6005
     12    0.6629    1.2030   0.4734   0.4469   0.4815   0.4636
     13    0.6205    1.2078   0.6380   0.5479   0.6505   0.5948
     14    0.6085    1.1960   0.4437   0.6152   0.3730   0.4644
     15    0.5896    1.1452   0.6795   0.5466   0.6948   0.6118
     16    0.6101    1.1977   0.5969   0.4247   0.5776   0.4895
     17    0.6360    1.1676   0.6623   0.5289   0.6370   0.5779
     18    0.5921    1.1547   0.6925   0.6049   0.7027   0.6502
     19    0.5643    1.0836   0.5401   0.5184   0.4994   0.5088
     20    0.5777    1.1143   0.7585   0.6874   0.7352   0.7105
     21    0.5485    1.0635   0.6302   0.5220   0.6856   0.5927
     22    0.5375    1.0615   0.7068   0.6523   0.6478   0.6500
     23    0.5393    1.0601   0.7298   0.6600   0.7304   0.6934
     24    0.5723    1.0791   0.6861   0.5438   0.7153   0.6179
     25    0.5082    0.9907   0.7471   0.6205   0.7736   0.6886
     26    0.5045    1.0025   0.6720   0.6257   0.6012   0.6132
     27    0.5263    0.9976   0.6572   0.6702   0.6089   0.6381
     28    0.5139    1.0111   0.7484   0.6739   0.7911   0.7278
     29    0.5135    1.0058   0.7188   0.6767   0.6807   0.6787
     30    0.4791    0.9865   0.7385   0.6628   0.7193   0.6899
     31    0.4901    1.0403   0.7103   0.7695   0.6275   0.6913
     32    0.4688    0.9233   0.7718   0.6914   0.7035   0.6974
     33    0.4600    0.9224   0.7454   0.7636   0.6447   0.6991
     34    0.4875    1.0017   0.7647   0.6668   0.7214   0.6930
     35    0.4755    0.9551   0.8013   0.7611   0.7285   0.7445
     36    0.4525    0.9056   0.7876   0.7123   0.8012   0.7542
     37    0.4550    0.9078   0.7764   0.6358   0.7245   0.6773
     38    0.4281    0.8898   0.7001   0.6539   0.7227   0.6866
     39    0.4511    0.9306   0.6889   0.6895   0.6447   0.6664
     40    0.4463    0.8876   0.7447   0.6158   0.7719   0.6850
     41    0.4500    0.8970   0.7764   0.6667   0.7769   0.7176
     42    0.4502    0.9062   0.7412   0.6128   0.7368   0.6691
     43    0.4358    0.8707   0.7430   0.8543   0.5992   0.7044
     44    0.4521    0.9064   0.8158   0.7287   0.8101   0.7673
     45    0.4060    0.8654   0.7818   0.6797   0.8372   0.7503
     46    0.4341    0.8537   0.7966   0.7825   0.7235   0.7518
     47    0.4245    0.8446   0.7723   0.6523   0.7590   0.7016
     48    0.3875    0.7960   0.7643   0.6848   0.7369   0.7099
     49    0.3795    0.8082   0.8092   0.7414   0.7732   0.7570
     50    0.4117    0.8375   0.7854   0.6779   0.7718   0.7218
