============================================================
  WOUND DETECTION - YOLO26m - METRICS REPORT
============================================================
  Model         : YOLO26m
  Dataset       : AZH Clinical Wound Dataset
  Run           : runs
  Total Epochs  : 200

  BEST EPOCH BY mAP50
  --------------------------------------------------
  Epoch         : 197
  Box Loss      : 0.0645
  Class Loss    : 0.0685
  mAP50         : 0.8841  (88.4%)
  mAP50-95      : 0.8680  (86.8%)
  Precision     : 0.8381
  Recall        : 0.8069
  F1 Score      : 0.8222

  BEST EPOCH BY F1
  --------------------------------------------------
  Epoch         : 182
  Precision     : 0.8503
  Recall        : 0.8193
  F1 Score      : 0.8345

  CONFIDENCE THRESHOLD RECOMMENDATIONS
  --------------------------------------------------
  Conservative (high precision) : 0.50
  Balanced     (best F1)        : 0.35
  Sensitive    (high recall)    : 0.25  <- medical use

  FULL TRAINING HISTORY
  --------------------------------------------------
  Epoch   BoxLoss   ClsLoss    mAP50     Prec      Rec       F1
      1    1.1306    6.1086   0.0467   0.7051   0.0374   0.0711
      2    0.6778    3.1781   0.1023   0.1409   0.1679   0.1532
      3    0.7670    2.2457   0.1871   0.1584   0.4173   0.2296
      4    0.7982    1.8425   0.2588   0.1993   0.4607   0.2782
      5    0.8007    1.6811   0.2828   0.2273   0.5858   0.3276
      6    0.7610    1.6288   0.3932   0.3536   0.4808   0.4075
      7    0.7185    1.5185   0.3453   0.2682   0.5271   0.3555
      8    0.7157    1.4381   0.2987   0.2425   0.4233   0.3083
      9    0.6769    1.3715   0.4637   0.5338   0.5388   0.5363
     10    0.6590    1.3206   0.5911   0.4304   0.6603   0.5211
     11    0.6301    1.2517   0.6850   0.5494   0.7324   0.6278
     12    0.6181    1.2557   0.4333   0.4417   0.5186   0.4770
     13    0.6045    1.2114   0.4613   0.3261   0.5306   0.4040
     14    0.6095    1.2109   0.6227   0.5387   0.6985   0.6083
     15    0.5821    1.1774   0.6861   0.7904   0.5373   0.6397
     16    0.5553    1.2037   0.5316   0.4045   0.5691   0.4729
     17    0.5601    1.1426   0.5545   0.5048   0.5868   0.5427
     18    0.5844    1.1489   0.6539   0.5186   0.6123   0.5616
     19    0.5179    1.0848   0.6415   0.5500   0.6130   0.5798
     20    0.5463    1.1080   0.7221   0.6794   0.6754   0.6774
     21    0.5323    1.0872   0.7540   0.6551   0.6949   0.6744
     22    0.5426    1.0523   0.7446   0.6435   0.7248   0.6818
     23    0.5197    1.0837   0.7268   0.7207   0.5927   0.6504
     24    0.5457    1.0766   0.7149   0.6483   0.6456   0.6469
     25    0.5220    1.0116   0.5592   0.5041   0.6160   0.5545
     26    0.5188    1.0221   0.7470   0.7071   0.6603   0.6829
     27    0.5280    0.9997   0.6982   0.7075   0.5935   0.6455
     28    0.5279    1.0124   0.7033   0.6266   0.6540   0.6400
     29    0.5143    0.9779   0.7425   0.7066   0.6919   0.6992
     30    0.4781    0.9421   0.7493   0.6425   0.7519   0.6929
     31    0.4976    0.9844   0.7466   0.7046   0.6931   0.6988
     32    0.4849    0.9255   0.6794   0.6539   0.6502   0.6521
     33    0.4931    0.9304   0.6629   0.6874   0.5920   0.6362
     34    0.4994    1.0047   0.7278   0.7800   0.5855   0.6689
     35    0.4796    0.9574   0.7560   0.6615   0.7527   0.7042
     36    0.4649    0.8981   0.7338   0.5775   0.7115   0.6375
     37    0.4788    0.8919   0.7584   0.6861   0.7257   0.7053
     38    0.4542    0.9039   0.7283   0.6926   0.6527   0.6721
     39    0.4775    0.9155   0.7873   0.7775   0.7051   0.7395
     40    0.4521    0.8648   0.7890   0.7132   0.7457   0.7291
     41    0.4640    0.8906   0.7225   0.7195   0.6263   0.6697
     42    0.4683    0.9066   0.7763   0.6960   0.7348   0.7149
     43    0.4763    0.8389   0.7447   0.7364   0.6626   0.6975
     44    0.4876    0.9282   0.7512   0.6302   0.7190   0.6717
     45    0.4587    0.8500   0.8063   0.8242   0.7162   0.7664
     46    0.4604    0.8704   0.7883   0.8080   0.7084   0.7549
     47    0.4489    0.8443   0.7863   0.8060   0.6761   0.7353
     48    0.4434    0.8112   0.7428   0.8022   0.5454   0.6493
     49    0.4287    0.8231   0.7613   0.6617   0.7426   0.6998
     50    0.4596    0.8789   0.7935   0.6943   0.7739   0.7319
     51    0.4427    0.8065   0.8159   0.6916   0.7494   0.7193
     52    0.4338    0.7827   0.8356   0.8302   0.7145   0.7680
     53    0.4330    0.8208   0.7667   0.7556   0.6597   0.7044
     54    0.4649    0.7936   0.7723   0.7919   0.6977   0.7418
     55    0.4329    0.8084   0.7801   0.6759   0.7882   0.7277
     56    0.4068    0.7883   0.8038   0.7612   0.7343   0.7476
     57    0.4272    0.7978   0.7350   0.6415   0.6752   0.6579
     58    0.4242    0.7969   0.8174   0.7398   0.7669   0.7531
     59    0.4228    0.7893   0.8053   0.7042   0.7761   0.7384
     60    0.4235    0.7977   0.8151   0.7386   0.7569   0.7476
     61    0.4066    0.7794   0.8204   0.7657   0.7214   0.7429
     62    0.4362    0.8014   0.7638   0.7428   0.6672   0.7029
     63    0.4043    0.7736   0.7934   0.7341   0.7234   0.7287
     64    0.4183    0.7849   0.7793   0.7441   0.7000   0.7214
     65    0.4312    0.7744   0.7502   0.7498   0.7045   0.7265
     66    0.4166    0.7691   0.8176   0.7971   0.7306   0.7624
     67    0.3956    0.6756   0.7421   0.6665   0.7095   0.6873
     68    0.4075    0.7083   0.7472   0.7399   0.6689   0.7026
     69    0.4056    0.7075   0.7883   0.8057   0.7100   0.7549
     70    0.4048    0.7428   0.8121   0.7832   0.7726   0.7779
     71    0.4010    0.6687   0.7858   0.7731   0.7473   0.7600
     72    0.3998    0.7219   0.7889   0.7679   0.7648   0.7664
     73    0.3908    0.7211   0.8044   0.7757   0.7522   0.7638
     74    0.3907    0.6810   0.8016   0.7245   0.8149   0.7671
     75    0.3993    0.6598   0.8209   0.7494   0.7976   0.7728
     76    0.3951    0.7262   0.8360   0.7462   0.7974   0.7709
     77    0.3917    0.6973   0.7542   0.7361   0.7683   0.7519
     78    0.3801    0.6634   0.7941   0.7542   0.7636   0.7589
     79    0.3672    0.6516   0.7113   0.6783   0.6708   0.6745
     80    0.3853    0.7116   0.7721   0.8011   0.7020   0.7483
     81    0.3764    0.7279   0.7806   0.7259   0.7578   0.7415
     82    0.3741    0.6763   0.7867   0.7383   0.7562   0.7471
     83    0.3794    0.6521   0.8086   0.7749   0.7542   0.7644
     84    0.3774    0.7122   0.7480   0.7031   0.7499   0.7257
     85    0.3723    0.6621   0.8072   0.7279   0.8065   0.7652
     86    0.3595    0.6195   0.7668   0.6865   0.7233   0.7044
     87    0.3748    0.6889   0.7425   0.8371   0.7147   0.7711
     88    0.3593    0.6381   0.8327   0.7243   0.7910   0.7562
     89    0.3617    0.6453   0.7973   0.7812   0.7905   0.7858
     90    0.3622    0.6555   0.8176   0.8103   0.7585   0.7835
     91    0.3558    0.6292   0.7757   0.7929   0.6939   0.7401
     92    0.3567    0.5880   0.8447   0.7948   0.8279   0.8110
     93    0.3541    0.6480   0.8239   0.7500   0.7829   0.7661
     94    0.3222    0.5980   0.8195   0.7481   0.7887   0.7679
     95    0.3619    0.6705   0.7456   0.7340   0.6738   0.7026
     96    0.3376    0.6119   0.7478   0.7565   0.7014   0.7279
     97    0.3437    0.6460   0.7570   0.8088   0.6504   0.7210
     98    0.3325    0.6116   0.7740   0.7497   0.7670   0.7582
     99    0.3292    0.6096   0.8134   0.7856   0.7777   0.7816
    100    0.3329    0.5983   0.7898   0.7445   0.7736   0.7588
    101    0.3335    0.5735   0.8095   0.7381   0.7829   0.7598
    102    0.3429    0.6035   0.8544   0.7935   0.8396   0.8159
    103    0.3419    0.5875   0.8424   0.8158   0.8082   0.8120
    104    0.3381    0.6046   0.8206   0.7789   0.7627   0.7707
    105    0.3201    0.5544   0.8179   0.7476   0.7912   0.7688
