============================================================
  WOUND DETECTION - YOLO26m - METRICS REPORT
============================================================
  Model         : YOLO26m
  Dataset       : AZH Clinical Wound Dataset
  Run           : runs
  Total Epochs  : 150

  BEST EPOCH BY mAP50
  --------------------------------------------------
  Epoch         : 134
  Box Loss      : 0.2191
  Class Loss    : 0.6029
  mAP50         : 0.8776  (87.8%)
  mAP50-95      : 0.8776  (87.8%)
  Precision     : 0.8732
  Recall        : 0.7972
  F1 Score      : 0.8334

  BEST EPOCH BY F1
  --------------------------------------------------
  Epoch         : 134
  Precision     : 0.8732
  Recall        : 0.7972
  F1 Score      : 0.8334

  CONFIDENCE THRESHOLD RECOMMENDATIONS
  --------------------------------------------------
  Conservative (high precision) : 0.50
  Balanced     (best F1)        : 0.35
  Sensitive    (high recall)    : 0.25  <- medical use

  FULL TRAINING HISTORY
  --------------------------------------------------
  Epoch   BoxLoss   ClsLoss    mAP50     Prec      Rec       F1
      1    0.9816    5.4398   0.0069   0.0033   0.6363   0.0066
      2    0.6065    4.8431   0.0215   0.0035   0.7943   0.0069
      3    0.5692    4.4626   0.0441   0.0040   0.9833   0.0080
      4    0.6457    4.2097   0.1749   0.7219   0.0759   0.1374
      5    0.6672    3.7471   0.2721   0.5418   0.3428   0.4199
      6    0.6713    3.2967   0.2865   0.2077   0.4001   0.2734
      7    0.6659    2.9466   0.4095   0.3363   0.4741   0.3934
      8    0.6534    2.6542   0.4307   0.3428   0.5652   0.4268
      9    0.6482    2.4529   0.4707   0.3668   0.6280   0.4631
     10    0.6223    2.3402   0.5946   0.5407   0.5976   0.5677
     11    0.6400    2.1990   0.5114   0.4227   0.6183   0.5021
     12    0.6196    2.0814   0.5361   0.5508   0.5402   0.5454
     13    0.6102    1.9729   0.5132   0.3817   0.5794   0.4602
     14    0.5681    1.8422   0.5970   0.4933   0.6063   0.5440
     15    0.5878    1.8195   0.6244   0.4662   0.6750   0.5515
     16    0.5677    1.6945   0.6582   0.5590   0.6677   0.6086
     17    0.5602    1.6745   0.6711   0.5709   0.6909   0.6252
     18    0.5525    1.6365   0.6914   0.6532   0.6696   0.6613
     19    0.5293    1.5546   0.7169   0.6886   0.6310   0.6585
     20    0.5333    1.4597   0.6826   0.5882   0.6914   0.6356
     21    0.5283    1.4195   0.6992   0.6309   0.6770   0.6531
     22    0.5215    1.4102   0.6972   0.5521   0.7181   0.6242
     23    0.5277    1.4314   0.6341   0.4838   0.7321   0.5826
     24    0.5071    1.3662   0.6805   0.6147   0.6154   0.6151
     25    0.5070    1.3216   0.7209   0.6714   0.6546   0.6629
     26    0.4972    1.3121   0.7237   0.6737   0.6499   0.6616
     27    0.5009    1.2784   0.6322   0.5508   0.6628   0.6016
     28    0.5169    1.2823   0.7170   0.6109   0.7584   0.6767
     29    0.5008    1.2151   0.5895   0.5154   0.5744   0.5433
     30    0.5001    1.2404   0.7415   0.6651   0.7224   0.6926
     31    0.4846    1.2005   0.7017   0.6863   0.6566   0.6711
     32    0.5041    1.2347   0.6467   0.5258   0.6824   0.5940
     33    0.4871    1.1507   0.7359   0.6093   0.6952   0.6494
     34    0.4885    1.2032   0.6555   0.5138   0.7106   0.5964
     35    0.4890    1.1694   0.7301   0.6258   0.6830   0.6532
     36    0.4836    1.1366   0.7479   0.7262   0.6741   0.6992
     37    0.4854    1.1238   0.7573   0.7480   0.6503   0.6957
     38    0.4588    1.0764   0.7540   0.6504   0.7707   0.7055
     39    0.4680    1.0824   0.7895   0.7257   0.6862   0.7054
     40    0.4822    1.0991   0.8070   0.7071   0.7562   0.7308
     41    0.4721    1.0693   0.7682   0.6356   0.7766   0.6991
     42    0.4346    1.0422   0.7916   0.7459   0.7323   0.7391
     43    0.4531    1.0109   0.7608   0.7074   0.7682   0.7366
     44    0.4350    0.9841   0.7522   0.6932   0.6488   0.6703
     45    0.4680    1.0038   0.8039   0.6771   0.7877   0.7282
     46    0.4454    1.0187   0.7930   0.6730   0.7527   0.7106
     47    0.4260    0.9869   0.7831   0.6287   0.8007   0.7044
     48    0.4461    0.9773   0.7549   0.6912   0.6938   0.6925
     49    0.4165    0.9155   0.7603   0.7060   0.7172   0.7116
     50    0.4620    1.0132   0.7812   0.6980   0.7207   0.7091
     51    0.4410    0.9769   0.7561   0.6444   0.6255   0.6348
     52    0.4174    0.9298   0.8095   0.7791   0.7273   0.7523
     53    0.4406    0.9718   0.6894   0.6750   0.6208   0.6468
     54    0.4378    0.9708   0.7844   0.6277   0.7668   0.6903
     55    0.4255    0.8822   0.7708   0.6594   0.7385   0.6967
     56    0.4363    0.9484   0.8195   0.6400   0.8492   0.7299
     57    0.4146    0.8876   0.8077   0.6831   0.8053   0.7392
     58    0.4315    0.9561   0.8064   0.7457   0.7511   0.7484
     59    0.4160    0.9628   0.7749   0.7236   0.7142   0.7189
     60    0.4191    0.8999   0.7677   0.7707   0.6804   0.7228
     61    0.3903    0.8549   0.7329   0.7240   0.6088   0.6614
     62    0.4229    0.9577   0.8067   0.7590   0.7084   0.7328
     63    0.3875    0.8570   0.8318   0.7699   0.7657   0.7678
     64    0.4038    0.8748   0.7952   0.6976   0.7421   0.7192
     65    0.4005    0.8577   0.7556   0.7081   0.6916   0.6998
     66    0.3886    0.8282   0.8164   0.7552   0.7419   0.7485
     67    0.3936    0.9109   0.8227   0.7518   0.7188   0.7349
     68    0.3805    0.8405   0.8339   0.7207   0.8071   0.7615
     69    0.3848    0.8450   0.7895   0.7141   0.7193   0.7167
     70    0.3877    0.8185   0.8134   0.6709   0.7536   0.7099
     71    0.3756    0.8287   0.7822   0.6647   0.7830   0.7190
     72    0.3959    0.8552   0.8023   0.7304   0.7123   0.7212
     73    0.3612    0.7920   0.7852   0.6567   0.7850   0.7151
     74    0.3684    0.8238   0.8061   0.6954   0.7799   0.7352
     75    0.3484    0.7752   0.7907   0.7130   0.6939   0.7033
     76    0.3518    0.7398   0.8006   0.7800   0.6714   0.7216
     77    0.3483    0.7866   0.8320   0.7048   0.8140   0.7554
     78    0.3518    0.7705   0.8327   0.7696   0.7838   0.7766
     79    0.3701    0.7911   0.8112   0.7983   0.7258   0.7604
     80    0.3509    0.7502   0.8184   0.7850   0.7307   0.7569
     81    0.3631    0.7784   0.8288   0.7185   0.7866   0.7510
     82    0.3525    0.7981   0.8018   0.7486   0.7462   0.7474
     83    0.3475    0.8151   0.8040   0.7541   0.7454   0.7497
     84    0.3591    0.8014   0.8307   0.8026   0.7358   0.7677
     85    0.3403    0.7879   0.8206   0.7285   0.7948   0.7602
     86    0.3417    0.7583   0.8197   0.7258   0.7922   0.7576
     87    0.3384    0.7600   0.8295   0.8233   0.7269   0.7721
     88    0.3542    0.8051   0.8554   0.8257   0.7505   0.7863
     89    0.3227    0.7167   0.7405   0.7375   0.6671   0.7005
     90    0.3261    0.7665   0.8021   0.6918   0.8197   0.7503
     91    0.3416    0.7664   0.7949   0.6348   0.8335   0.7207
     92    0.3219    0.7323   0.8515   0.7301   0.8121   0.7690
     93    0.3320    0.7716   0.8021   0.6733   0.7779   0.7218
     94    0.3072    0.7399   0.8263   0.7919   0.7326   0.7611
     95    0.3130    0.7356   0.8447   0.7725   0.7791   0.7758
     96    0.3133    0.7461   0.8374   0.7369   0.8079   0.7708
     97    0.3059    0.7091   0.8382   0.7079   0.8044   0.7531
     98    0.2960    0.6776   0.8017   0.7571   0.7567   0.7569
     99    0.3186    0.7744   0.8514   0.7933   0.7957   0.7945
    100    0.3167    0.7463   0.8295   0.8222   0.7436   0.7809
    101    0.2997    0.7664   0.8421   0.7725   0.7699   0.7712
    102    0.2909    0.6890   0.8460   0.8054   0.7746   0.7897
    103    0.2798    0.7098   0.8382   0.7869   0.7779   0.7824
    104    0.2859    0.6625   0.8321   0.7190   0.8177   0.7652
    105    0.2737    0.6713   0.8509   0.7489   0.8084   0.7775
    106    0.2958    0.6770   0.8191   0.7940   0.7327   0.7621
    107    0.3000    0.7259   0.8405   0.7248   0.8385   0.7775
    108    0.2842    0.6770   0.8328   0.7314   0.7950   0.7619
    109    0.2835    0.6879   0.8056   0.7400   0.7416   0.7408
    110    0.2922    0.7064   0.8280   0.8368   0.6834   0.7524
    111    0.2749    0.6641   0.8111   0.6811   0.7816   0.7279
    112    0.2642    0.6774   0.8350   0.7267   0.8185   0.7699
    113    0.2575    0.6243   0.8621   0.7928   0.8204   0.8063
    114    0.2967    0.7352   0.8563   0.7852   0.8140   0.7993
    115    0.2754    0.6400   0.8387   0.8250   0.7374   0.7787
    116    0.2710    0.6654   0.8431   0.7417   0.8254   0.7813
    117    0.2542    0.6113   0.8495   0.7655   0.8135   0.7887
    118    0.2528    0.6476   0.8650   0.8834   0.7571   0.8154
    119    0.2544    0.6658   0.8722   0.8329   0.7986   0.8154
    120    0.2505    0.6116   0.8641   0.8408   0.7889   0.8140
    121    0.2568    0.6421   0.8636   0.8790   0.7606   0.8155
    122    0.2533    0.6730   0.8610   0.7959   0.7970   0.7964
    123    0.2530    0.6373   0.8611   0.8263   0.8047   0.8154
    124    0.2582    0.6140   0.8605   0.8667   0.7487   0.8034
    125    0.2361    0.6076   0.8626   0.8920   0.7464   0.8127
    126    0.2229    0.6283   0.8619   0.7432   0.8636   0.7989
