============================================================
  WOUND DETECTION - YOLO26m - METRICS REPORT
============================================================
  Model         : YOLO26m
  Dataset       : AZH Clinical Wound Dataset
  Run           : runs
  Total Epochs  : 150

  BEST EPOCH BY mAP50
  --------------------------------------------------
  Epoch         : 108
  Box Loss      : 0.3042
  Class Loss    : 0.6704
  mAP50         : 0.8545  (85.4%)
  mAP50-95      : 0.8120  (81.2%)
  Precision     : 0.7778
  Recall        : 0.7938
  F1 Score      : 0.7857

  BEST EPOCH BY F1
  --------------------------------------------------
  Epoch         : 113
  Precision     : 0.8020
  Recall        : 0.7928
  F1 Score      : 0.7974

  CONFIDENCE THRESHOLD RECOMMENDATIONS
  --------------------------------------------------
  Conservative (high precision) : 0.50
  Balanced     (best F1)        : 0.35
  Sensitive    (high recall)    : 0.25  <- medical use

  FULL TRAINING HISTORY
  --------------------------------------------------
  Epoch   BoxLoss   ClsLoss    mAP50     Prec      Rec       F1
      1    1.1348    4.2447   0.1441   0.0765   0.7278   0.1384
      2    0.9330    1.8060   0.3795   0.4945   0.3817   0.4309
      3    0.8169    1.6047   0.2748   0.3421   0.3618   0.3517
      4    0.8317    1.4856   0.6364   0.4766   0.6382   0.5457
      5    0.7883    1.4366   0.2806   0.6485   0.1591   0.2555
      6    0.8014    1.4139   0.6092   0.5336   0.6699   0.5940
      7    0.7330    1.3304   0.5959   0.7182   0.5269   0.6078
      8    0.7327    1.3164   0.5812   0.6372   0.6143   0.6255
      9    0.6683    1.3268   0.5986   0.4733   0.6162   0.5354
     10    0.7019    1.3019   0.3800   0.3947   0.4573   0.4237
     11    0.6568    1.2493   0.4824   0.5762   0.3678   0.4490
     12    0.6312    1.2412   0.4998   0.4988   0.5063   0.5025
     13    0.6236    1.2205   0.5775   0.4988   0.5960   0.5431
     14    0.6407    1.2437   0.6940   0.5615   0.7249   0.6329
     15    0.5826    1.1846   0.7202   0.5715   0.7490   0.6483
     16    0.5927    1.2651   0.5444   0.3853   0.6028   0.4701
     17    0.6410    1.2259   0.5206   0.3658   0.6042   0.4557
     18    0.5844    1.2066   0.6155   0.6034   0.5870   0.5951
     19    0.5732    1.1471   0.6667   0.5760   0.6664   0.6179
     20    0.5533    1.1570   0.7119   0.6786   0.6348   0.6560
     21    0.5496    1.1482   0.6711   0.5629   0.6455   0.6013
     22    0.5394    1.1306   0.6034   0.4600   0.6260   0.5303
     23    0.5247    1.1110   0.7179   0.6363   0.7289   0.6795
     24    0.5766    1.1034   0.5391   0.4800   0.6028   0.5344
     25    0.5314    1.0772   0.7144   0.7603   0.6198   0.6829
     26    0.5486    1.1027   0.6517   0.6269   0.6408   0.6338
     27    0.5527    1.0807   0.7115   0.7010   0.6327   0.6651
     28    0.5389    1.0983   0.7041   0.6071   0.7369   0.6657
     29    0.5345    1.0775   0.5840   0.5734   0.6554   0.6117
     30    0.5183    1.0829   0.7103   0.5699   0.7023   0.6292
     31    0.5040    1.1091   0.6071   0.5906   0.5921   0.5913
     32    0.5105    1.0125   0.7510   0.6291   0.7497   0.6841
     33    0.4969    1.0205   0.7680   0.7260   0.7208   0.7234
     34    0.5118    1.1025   0.7059   0.6798   0.6512   0.6652
     35    0.5065    1.0397   0.7326   0.5939   0.6625   0.6263
     36    0.4813    1.0342   0.7086   0.5271   0.7903   0.6324
     37    0.5009    1.0091   0.6998   0.6152   0.6634   0.6384
     38    0.4982    1.0088   0.6500   0.5217   0.6944   0.5958
     39    0.5012    1.0104   0.7144   0.5505   0.7404   0.6315
     40    0.4819    0.9817   0.7271   0.5567   0.7297   0.6316
     41    0.4758    1.0181   0.7391   0.7055   0.6654   0.6849
     42    0.4682    1.0286   0.6810   0.6589   0.5971   0.6265
     43    0.4632    0.9847   0.7261   0.8213   0.6142   0.7028
     44    0.4596    1.0169   0.7330   0.6895   0.6813   0.6854
     45    0.4772    0.9985   0.7259   0.6767   0.6349   0.6552
     46    0.4677    0.9841   0.7164   0.5893   0.7640   0.6654
     47    0.4482    0.9461   0.7235   0.5579   0.7470   0.6387
     48    0.4557    0.9158   0.7419   0.6414   0.7298   0.6828
     49    0.4490    0.9307   0.7312   0.6675   0.6688   0.6681
