============================================================
  WOUND DETECTION - YOLO26m - METRICS REPORT
============================================================
  Model         : YOLO26m
  Dataset       : AZH Clinical Wound Dataset
  Run           : runs
  Total Epochs  : 50

  BEST EPOCH BY mAP50
  --------------------------------------------------
  Epoch         : 38
  Box Loss      : 0.3521
  Class Loss    : 0.7552
  mAP50         : 0.8326  (83.3%)
  mAP50-95      : 0.7541  (75.4%)
  Precision     : 0.7830
  Recall        : 0.7529
  F1 Score      : 0.7677

  BEST EPOCH BY F1
  --------------------------------------------------
  Epoch         : 50
  Precision     : 0.8398
  Recall        : 0.7117
  F1 Score      : 0.7705

  CONFIDENCE THRESHOLD RECOMMENDATIONS
  --------------------------------------------------
  Conservative (high precision) : 0.50
  Balanced     (best F1)        : 0.35
  Sensitive    (high recall)    : 0.25  <- medical use

  FULL TRAINING HISTORY
  --------------------------------------------------
  Epoch   BoxLoss   ClsLoss    mAP50     Prec      Rec       F1
      1    1.0298    5.9219   0.1074   0.2184   0.0352   0.0606
      2    0.8629    2.4032   0.1992   0.2042   0.2819   0.2368
      3    0.8347    1.6844   0.5513   0.4502   0.5787   0.5064
      4    0.8544    1.4529   0.4948   0.4277   0.6176   0.5054
      5    0.7759    1.3480   0.5767   0.5288   0.6246   0.5727
      6    0.7905    1.3437   0.6530   0.5925   0.5941   0.5933
      7    0.7972    1.3232   0.5767   0.4946   0.5898   0.5380
      8    0.7045    1.2470   0.5521   0.4799   0.6137   0.5386
      9    0.6712    1.2539   0.6271   0.4654   0.6986   0.5587
     10    0.6538    1.1986   0.6405   0.7077   0.5817   0.6385
     11    0.6339    1.1588   0.5528   0.4103   0.6698   0.5088
     12    0.6207    1.1706   0.6340   0.4840   0.6363   0.5498
     13    0.5669    1.1264   0.5656   0.4596   0.6055   0.5225
     14    0.5894    1.1640   0.6437   0.5345   0.6572   0.5896
     15    0.5447    1.1128   0.6788   0.5780   0.6897   0.6290
     16    0.5725    1.1336   0.7521   0.6812   0.7210   0.7005
     17    0.5670    1.1079   0.7327   0.5367   0.8124   0.6464
     18    0.5614    1.0978   0.7279   0.6451   0.6636   0.6542
     19    0.5337    1.0573   0.6827   0.6174   0.6815   0.6479
     20    0.5226    1.0342   0.7627   0.7410   0.6497   0.6923
     21    0.5077    1.0136   0.7801   0.6736   0.7062   0.6895
     22    0.4916    0.9848   0.6698   0.6428   0.5967   0.6189
     23    0.4870    0.9677   0.7662   0.6147   0.7942   0.6930
     24    0.4992    0.9814   0.7382   0.5798   0.7110   0.6387
     25    0.4361    0.9186   0.7708   0.6992   0.7277   0.7132
     26    0.4547    0.9387   0.7850   0.6148   0.8081   0.6983
     27    0.4626    0.9411   0.8190   0.7067   0.7710   0.7374
     28    0.4328    0.9129   0.7621   0.7140   0.6987   0.7063
     29    0.4514    0.9176   0.8081   0.6413   0.7893   0.7076
     30    0.4089    0.8824   0.7823   0.7710   0.6621   0.7124
     31    0.4307    0.9054   0.8090   0.6717   0.7870   0.7248
     32    0.4197    0.8459   0.8162   0.7224   0.7468   0.7344
     33    0.3950    0.8109   0.8202   0.6936   0.7975   0.7419
     34    0.4017    0.8691   0.8273   0.6654   0.8341   0.7403
     35    0.3771    0.8135   0.8078   0.7703   0.6958   0.7312
     36    0.3634    0.7680   0.8134   0.7086   0.7638   0.7351
     37    0.3684    0.7600   0.7852   0.7286   0.7707   0.7491
     38    0.3521    0.7552   0.8326   0.7830   0.7529   0.7677
     39    0.3434    0.7598   0.8039   0.7827   0.6969   0.7373
     40    0.3314    0.7443   0.8051   0.7624   0.7254   0.7435
     41    0.3845    0.5144   0.8123   0.8139   0.7050   0.7555
     42    0.3121    0.4629   0.8220   0.6801   0.7967   0.7338
     43    0.2943    0.3918   0.8221   0.7168   0.7878   0.7506
     44    0.2396    0.3305   0.8178   0.6931   0.8044   0.7446
     45    0.1786    0.2778   0.8019   0.7720   0.6944   0.7311
     46    0.1667    0.2940   0.8005   0.7544   0.6874   0.7193
     47    0.1609    0.2769   0.8088   0.6635   0.8294   0.7373
     48    0.1576    0.2367   0.8056   0.7427   0.7663   0.7543
     49    0.1482    0.2830   0.8135   0.7951   0.7330   0.7628
     50    0.1452    0.2612   0.8157   0.8398   0.7117   0.7705
============================================================
