============================================================
  WOUND DETECTION - YOLO26m - METRICS REPORT
============================================================
  Model         : YOLO26m
  Dataset       : AZH Clinical Wound Dataset
  Run           : runs
  Total Epochs  : 250

  BEST EPOCH BY mAP50
  --------------------------------------------------
  Epoch         : 211
  Box Loss      : 0.1709
  Class Loss    : 0.4661
  mAP50         : 0.8951  (89.5%)
  mAP50-95      : 0.8951  (89.5%)
  Precision     : 0.8468
  Recall        : 0.8207
  F1 Score      : 0.8335

  BEST EPOCH BY F1
  --------------------------------------------------
  Epoch         : 214
  Precision     : 0.8806
  Recall        : 0.8250
  F1 Score      : 0.8519

  CONFIDENCE THRESHOLD RECOMMENDATIONS
  --------------------------------------------------
  Conservative (high precision) : 0.50
  Balanced     (best F1)        : 0.35
  Sensitive    (high recall)    : 0.25  <- medical use

  FULL TRAINING HISTORY
  --------------------------------------------------
  Epoch   BoxLoss   ClsLoss    mAP50     Prec      Rec       F1
      1    0.9021    5.4938   0.2226   0.3592   0.2223   0.2746
      2    0.7386    2.3579   0.3105   0.2667   0.3904   0.3169
      3    0.7937    1.7249   0.4052   0.4523   0.5253   0.4861
      4    0.7782    1.5822   0.2136   0.3446   0.2930   0.3167
      5    0.6696    1.4475   0.5217   0.4601   0.6559   0.5408
      6    0.7414    1.3770   0.3382   0.2907   0.4253   0.3453
      7    0.7107    1.2923   0.5862   0.5110   0.5949   0.5497
      8    0.6277    1.2769   0.5807   0.5043   0.6610   0.5721
      9    0.5926    1.2416   0.5788   0.5473   0.5684   0.5577
     10    0.5713    1.2567   0.4422   0.4398   0.5185   0.4759
     11    0.6197    1.2436   0.6347   0.5441   0.5930   0.5675
     12    0.6381    1.2256   0.6302   0.5494   0.7443   0.6321
     13    0.5870    1.2003   0.5244   0.4484   0.5370   0.4887
     14    0.5269    1.1367   0.6139   0.5632   0.6546   0.6055
     15    0.5739    1.1974   0.5814   0.5550   0.5575   0.5562
     16    0.5528    1.1045   0.6712   0.4985   0.7042   0.5837
     17    0.5299    1.1179   0.6970   0.5895   0.6987   0.6395
     18    0.5411    1.1387   0.5480   0.4902   0.4378   0.4625
     19    0.4944    1.1295   0.6559   0.6709   0.6377   0.6538
     20    0.5061    1.1125   0.6914   0.5546   0.7505   0.6378
     21    0.5172    1.0902   0.7329   0.6758   0.6969   0.6862
     22    0.4969    1.0568   0.6949   0.5928   0.6775   0.6323
     23    0.4883    1.1056   0.6881   0.5533   0.6547   0.5998
     24    0.5176    1.0830   0.6654   0.5227   0.7113   0.6026
     25    0.4937    1.0650   0.6363   0.6401   0.5762   0.6065
     26    0.4790    1.0629   0.6895   0.6456   0.6022   0.6232
     27    0.4890    1.0296   0.6712   0.6666   0.6541   0.6603
     28    0.4595    1.0724   0.5713   0.5147   0.5974   0.5530
     29    0.4687    1.0427   0.6360   0.5647   0.6032   0.5833
     30    0.4424    1.0744   0.6042   0.5155   0.6274   0.5660
     31    0.4432    1.0292   0.7679   0.6329   0.8018   0.7074
     32    0.4738    1.0923   0.7000   0.6763   0.6351   0.6551
     33    0.4293    1.0031   0.6928   0.5769   0.6883   0.6277
     34    0.4521    1.0635   0.7279   0.5998   0.7365   0.6612
     35    0.4543    1.0401   0.4464   0.4655   0.5089   0.4863
     36    0.4371    1.0311   0.7148   0.6260   0.7457   0.6807
     37    0.4367    1.0148   0.7362   0.8031   0.5835   0.6759
     38    0.4247    0.9405   0.7547   0.6261   0.7940   0.7001
     39    0.4303    0.9585   0.6920   0.5974   0.7091   0.6485
     40    0.4089    0.9989   0.7746   0.6705   0.7598   0.7124
     41    0.4219    0.9758   0.7144   0.5716   0.6199   0.5948
     42    0.4167    0.9630   0.5325   0.6210   0.4955   0.5511
     43    0.3866    0.9288   0.6255   0.6478   0.5244   0.5796
     44    0.3904    0.9215   0.7011   0.5948   0.7714   0.6717
     45    0.4262    0.9658   0.6799   0.6868   0.5605   0.6172
     46    0.4054    0.9822   0.7503   0.5885   0.7971   0.6771
     47    0.4190    0.9395   0.7124   0.7132   0.6026   0.6532
     48    0.3861    0.8931   0.7466   0.6643   0.7794   0.7173
     49    0.3790    0.8520   0.7088   0.6629   0.6420   0.6523
     50    0.4175    0.9359   0.6466   0.6018   0.4995   0.5459
     51    0.3864    0.9377   0.6787   0.5878   0.6496   0.6172
     52    0.3581    0.8732   0.8089   0.7048   0.7810   0.7409
     53    0.3875    0.9232   0.7729   0.6169   0.8066   0.6991
     54    0.3918    0.9026   0.7905   0.6923   0.8191   0.7503
     55    0.3822    0.8626   0.6202   0.6181   0.6085   0.6132
     56    0.3597    0.9035   0.7430   0.7205   0.6488   0.6828
     57    0.3401    0.8748   0.6727   0.6191   0.7002   0.6572
     58    0.3573    0.9159   0.7694   0.6428   0.7875   0.7078
     59    0.3805    0.9326   0.7199   0.6688   0.6385   0.6533
     60    0.3578    0.8504   0.7591   0.6189   0.7234   0.6671
     61    0.3480    0.8233   0.7635   0.6984   0.7654   0.7304
     62    0.3838    0.9174   0.6743   0.6361   0.6225   0.6292
     63    0.3786    0.8480   0.7543   0.7101   0.7447   0.7270
     64    0.3543    0.8527   0.7178   0.6880   0.6511   0.6690
     65    0.3563    0.8328   0.8010   0.7124   0.7548   0.7330
     66    0.3259    0.8160   0.7570   0.6872   0.6792   0.6831
     67    0.3449    0.8471   0.7691   0.6744   0.7596   0.7144
     68    0.3334    0.7993   0.8045   0.7405   0.7739   0.7568
     69    0.3482    0.8129   0.7952   0.7501   0.7333   0.7416
     70    0.3457    0.8059   0.7482   0.7734   0.6702   0.7181
     71    0.3006    0.7994   0.7046   0.6586   0.6548   0.6567
     72    0.3517    0.8264   0.7691   0.7809   0.6794   0.7266
     73    0.3189    0.8093   0.7932   0.8050   0.7156   0.7577
     74    0.3370    0.8254   0.8082   0.7200   0.7567   0.7379
     75    0.3461    0.7893   0.7790   0.7399   0.7366   0.7383
     76    0.3021    0.7351   0.7874   0.6703   0.7142   0.6915
     77    0.3254    0.7723   0.7601   0.6899   0.6687   0.6791
     78    0.3164    0.7594   0.7497   0.6398   0.7129   0.6744
     79    0.3126    0.7401   0.7845   0.6917   0.6990   0.6953
     80    0.2901    0.7203   0.7918   0.6699   0.7940   0.7267
     81    0.3036    0.7641   0.7825   0.7227   0.7003   0.7113
     82    0.3439    0.8155   0.7175   0.7082   0.6194   0.6608
     83    0.3237    0.7618   0.7330   0.6950   0.6578   0.6759
     84    0.3246    0.7819   0.7843   0.6602   0.7626   0.7077
     85    0.3230    0.7685   0.7597   0.7911   0.6169   0.6932
     86    0.3222    0.7837   0.7463   0.5998   0.6869   0.6404
     87    0.2922    0.7472   0.7694   0.6427   0.7367   0.6865
     88    0.3259    0.8049   0.8067   0.7556   0.6688   0.7095
     89    0.2947    0.7241   0.7750   0.7247   0.7021   0.7132
     90    0.3021    0.7683   0.7990   0.6825   0.7650   0.7214
     91    0.2997    0.7825   0.7675   0.7692   0.5726   0.6565
     92    0.3160    0.7529   0.7706   0.7102   0.7451   0.7272
     93    0.3124    0.7441   0.7739   0.6694   0.7485   0.7067
     94    0.2884    0.7924   0.7451   0.7136   0.7148   0.7142
     95    0.2909    0.7559   0.7356   0.7149   0.6493   0.6805
     96    0.2954    0.7389   0.7438   0.6051   0.7693   0.6774
     97    0.2910    0.6851   0.7583   0.6523   0.7481   0.6969
     98    0.2939    0.7049   0.7160   0.6443   0.7051   0.6733
     99    0.3057    0.7511   0.8065   0.8859   0.7036   0.7843
    100    0.2932    0.7312   0.7915   0.7390   0.7522   0.7456
    101    0.2848    0.7612   0.8105   0.6633   0.7751   0.7149
    102    0.2799    0.7136   0.6330   0.6287   0.5766   0.6015
    103    0.2930    0.7240   0.7364   0.7911   0.6411   0.7082
    104    0.2889    0.7017   0.7595   0.7101   0.7286   0.7193
    105    0.2783    0.6818   0.8014   0.8419   0.6731   0.7481
    106    0.2911    0.6859   0.8291   0.6882   0.8391   0.7562
    107    0.2736    0.7195   0.7975   0.6991   0.7706   0.7331
    108    0.2671    0.6643   0.7877   0.7282   0.7600   0.7438
    109    0.2772    0.6889   0.7669   0.6867   0.7759   0.7286
    110    0.2778    0.7176   0.8087   0.7325   0.7315   0.7320
    111    0.2743    0.6692   0.8122   0.6956   0.7680   0.7300
    112    0.2627    0.6822   0.7974   0.7471   0.7500   0.7485
    113    0.2716    0.6558   0.8187   0.7672   0.7814   0.7742
    114    0.2903    0.7361   0.8285   0.7723   0.7492   0.7606
    115    0.2617    0.6745   0.7877   0.7458   0.7666   0.7560
