============================================================
  WOUND DETECTION - YOLO26m - METRICS REPORT
============================================================
  Model         : YOLO26m
  Dataset       : AZH Clinical Wound Dataset
  Run           : runs
  Total Epochs  : 150

  BEST EPOCH BY mAP50
  --------------------------------------------------
  Epoch         : 116
  Box Loss      : 0.2344
  Class Loss    : 0.4824
  mAP50         : 0.8635  (86.4%)
  mAP50-95      : 0.8507  (85.1%)
  Precision     : 0.7566
  Recall        : 0.8579
  F1 Score      : 0.8041

  BEST EPOCH BY F1
  --------------------------------------------------
  Epoch         : 147
  Precision     : 0.8108
  Recall        : 0.8435
  F1 Score      : 0.8268

  CONFIDENCE THRESHOLD RECOMMENDATIONS
  --------------------------------------------------
  Conservative (high precision) : 0.50
  Balanced     (best F1)        : 0.35
  Sensitive    (high recall)    : 0.25  <- medical use

  FULL TRAINING HISTORY
  --------------------------------------------------
  Epoch   BoxLoss   ClsLoss    mAP50     Prec      Rec       F1
      1    1.1283    6.1574   0.0607   0.1955   0.3873   0.2598
      2    0.7600    3.3402   0.0968   0.0717   0.0758   0.0737
      3    0.7390    2.2821   0.1024   0.1395   0.2647   0.1827
      4    0.8377    1.9422   0.1869   0.1747   0.3877   0.2409
      5    0.7979    1.6679   0.3193   0.2878   0.5323   0.3736
      6    0.7487    1.6369   0.2954   0.1811   0.4967   0.2654
      7    0.7203    1.4864   0.3689   0.3644   0.3975   0.3803
      8    0.6770    1.4429   0.4713   0.3589   0.6459   0.4614
      9    0.6928    1.3720   0.5085   0.3885   0.6386   0.4831
     10    0.7031    1.3615   0.5541   0.4697   0.6159   0.5329
     11    0.6463    1.3243   0.5956   0.4778   0.6190   0.5393
     12    0.6883    1.2707   0.6370   0.5252   0.7069   0.6027
     13    0.6267    1.2486   0.6597   0.5189   0.7747   0.6215
     14    0.5839    1.1743   0.6399   0.7236   0.5516   0.6260
     15    0.6160    1.2202   0.7015   0.5535   0.7660   0.6427
     16    0.5578    1.1235   0.6284   0.4683   0.7355   0.5723
     17    0.5972    1.1523   0.6531   0.5398   0.7287   0.6202
     18    0.5852    1.1469   0.7063   0.6344   0.6491   0.6417
     19    0.5417    1.1169   0.6310   0.5407   0.6528   0.5915
     20    0.5622    1.0966   0.6733   0.5759   0.7604   0.6554
     21    0.5397    1.0260   0.6669   0.5187   0.7180   0.6023
     22    0.5460    1.0515   0.7104   0.6546   0.6733   0.6638
     23    0.5519    1.0686   0.6604   0.4985   0.7071   0.5848
     24    0.5365    1.0386   0.7418   0.6664   0.6849   0.6755
     25    0.5127    1.0429   0.7329   0.7215   0.6239   0.6692
     26    0.5236    1.0228   0.7278   0.6315   0.7479   0.6848
     27    0.5073    1.0025   0.7221   0.6151   0.7070   0.6579
     28    0.5035    1.0398   0.7522   0.6399   0.7330   0.6833
     29    0.5089    0.9591   0.7965   0.7318   0.7502   0.7409
     30    0.4966    1.0024   0.7863   0.7182   0.7170   0.7176
     31    0.5018    0.9565   0.7086   0.6978   0.6518   0.6740
     32    0.5068    1.0323   0.7469   0.6138   0.7715   0.6837
     33    0.4965    0.9354   0.7450   0.6589   0.6966   0.6772
     34    0.4954    1.0038   0.7841   0.7982   0.6738   0.7307
     35    0.4915    0.9681   0.6699   0.6756   0.5758   0.6217
     36    0.4947    0.9464   0.7880   0.6705   0.7792   0.7208
     37    0.4799    0.9364   0.7873   0.6786   0.6729   0.6758
     38    0.4437    0.8718   0.7194   0.6451   0.6641   0.6544
     39    0.4505    0.8758   0.7796   0.6796   0.7521   0.7140
     40    0.4803    0.9087   0.6683   0.6462   0.5004   0.5640
     41    0.4869    0.9005   0.6843   0.7199   0.6099   0.6604
     42    0.4854    0.8825   0.7998   0.7747   0.7114   0.7417
     43    0.4565    0.8687   0.7221   0.6201   0.7054   0.6600
     44    0.4582    0.8533   0.7515   0.7548   0.6559   0.7019
     45    0.4600    0.8508   0.7611   0.7858   0.6335   0.7015
     46    0.4329    0.8626   0.7702   0.8378   0.6524   0.7336
     47    0.4471    0.8233   0.8121   0.7811   0.7194   0.7490
     48    0.4425    0.8228   0.8088   0.7604   0.7474   0.7538
     49    0.4339    0.7497   0.7681   0.7718   0.6640   0.7139
     50    0.4674    0.8482   0.7761   0.8316   0.6475   0.7281
     51    0.4343    0.8364   0.7402   0.6606   0.6783   0.6693
     52    0.4209    0.8034   0.7950   0.8336   0.6871   0.7533
     53    0.4492    0.8394   0.7920   0.6760   0.7901   0.7286
     54    0.4296    0.8099   0.7559   0.6810   0.7336   0.7063
     55    0.4197    0.7577   0.8104   0.7455   0.7584   0.7519
     56    0.4146    0.7676   0.8075   0.7778   0.7465   0.7618
     57    0.4205    0.7607   0.8091   0.7456   0.7807   0.7628
     58    0.4226    0.7871   0.7974   0.7617   0.7155   0.7379
     59    0.4188    0.7785   0.8314   0.7142   0.8120   0.7600
     60    0.4123    0.7059   0.7777   0.7718   0.7178   0.7438
     61    0.3981    0.7036   0.7466   0.7764   0.7029   0.7378
     62    0.4055    0.7646   0.8005   0.8041   0.7232   0.7615
     63    0.3938    0.6890   0.8002   0.7376   0.8107   0.7724
     64    0.3907    0.7389   0.8107   0.7972   0.7246   0.7592
     65    0.3828    0.6756   0.8527   0.7019   0.8593   0.7727
     66    0.3671    0.6841   0.8276   0.8064   0.8073   0.8068
     67    0.3915    0.7300   0.8229   0.7561   0.8600   0.8047
     68    0.3760    0.6777   0.8216   0.7979   0.7404   0.7681
     69    0.3771    0.7118   0.8117   0.8100   0.7490   0.7783
     70    0.3664    0.6761   0.8420   0.8205   0.7430   0.7798
     71    0.3441    0.6450   0.8357   0.7346   0.8050   0.7681
     72    0.3755    0.6793   0.8061   0.7170   0.7525   0.7343
     73    0.3650    0.6557   0.8012   0.7887   0.7218   0.7538
     74    0.3597    0.6658   0.7965   0.7816   0.7216   0.7504
     75    0.3384    0.6243   0.8484   0.7901   0.8116   0.8007
     76    0.3308    0.6137   0.8161   0.7957   0.7283   0.7605
     77    0.3427    0.6361   0.8297   0.7308   0.8214   0.7735
     78    0.3379    0.6271   0.8327   0.8366   0.7463   0.7889
     79    0.3420    0.6368   0.8456   0.8013   0.8017   0.8015
     80    0.3377    0.6044   0.8231   0.7892   0.7611   0.7749
     81    0.3693    0.6342   0.8283   0.8312   0.6925   0.7556
     82    0.3443    0.6521   0.7788   0.8169   0.6434   0.7198
     83    0.3488    0.6422   0.7952   0.8351   0.7350   0.7819
     84    0.3491    0.6334   0.8287   0.7933   0.7672   0.7801
     85    0.3495    0.6299   0.8615   0.8518   0.7777   0.8131
     86    0.3012    0.5962   0.8162   0.8118   0.7522   0.7808
     87    0.3022    0.6065   0.8223   0.7387   0.8278   0.7807
     88    0.3227    0.6252   0.8350   0.8384   0.7737   0.8047
     89    0.3076    0.5717   0.8320   0.7500   0.8202   0.7835
     90    0.3041    0.5992   0.8039   0.7327   0.7954   0.7628
     91    0.3114    0.6140   0.8138   0.7809   0.7655   0.7731
     92    0.2906    0.5773   0.8280   0.7428   0.7956   0.7683
     93    0.3013    0.5914   0.8257   0.7194   0.8168   0.7651
     94    0.2931    0.5928   0.8555   0.8307   0.7660   0.7970
     95    0.2828    0.5782   0.7999   0.7068   0.8017   0.7513
     96    0.3130    0.5838   0.8049   0.7991   0.7405   0.7687
     97    0.2993    0.5618   0.8447   0.7605   0.8136   0.7862
     98    0.2927    0.5286   0.8353   0.8404   0.7691   0.8032
     99    0.2995    0.6172   0.8520   0.8070   0.8158   0.8113
    100    0.2883    0.5694   0.8327   0.7933   0.7509   0.7715
    101    0.2622    0.5958   0.8190   0.7962   0.7691   0.7824
    102    0.2724    0.5276   0.8236   0.8193   0.8010   0.8101
    103    0.2628    0.5507   0.8470   0.8104   0.8058   0.8081
    104    0.2796    0.5285   0.8326   0.7491   0.8237   0.7846
    105    0.2614    0.5148   0.8283   0.7185   0.8304   0.7704
    106    0.2719    0.5293   0.8208   0.8115   0.7922   0.8017
    107    0.2735    0.5395   0.8261   0.7780   0.7702   0.7741
    108    0.2656    0.5232   0.8357   0.7504   0.8032   0.7759
    109    0.2508    0.5344   0.8556   0.8239   0.7775   0.8000
    110    0.2647    0.5370   0.8181   0.8423   0.6997   0.7644
    111    0.2513    0.5117   0.7332   0.7974   0.7288   0.7615
    112    0.2470    0.5117   0.8347   0.7997   0.8144   0.8070
    113    0.2404    0.4819   0.8313   0.7903   0.7986   0.7944
    114    0.2523    0.5657   0.8502   0.8157   0.7530   0.7831
    115    0.2373    0.4958   0.8428   0.7216   0.8158   0.7658
    116    0.2344    0.4824   0.8635   0.7566   0.8579   0.8041
    117    0.2276    0.4633   0.8292   0.8101   0.8029   0.8065
    118    0.2270    0.4851   0.8364   0.8128   0.8070   0.8099
    119    0.2274    0.5033   0.8552   0.7761   0.8424   0.8079
    120    0.2213    0.4522   0.8517   0.8340   0.8100   0.8218
    121    0.2266    0.4854   0.8477   0.7675   0.7958   0.7814
    122    0.2198    0.4815   0.8386   0.7409   0.8445   0.7893
    123    0.2203    0.4711   0.8281   0.7146   0.8270   0.7667
    124    0.2260    0.4512   0.7872   0.8817   0.6957   0.7777
    125    0.2078    0.4553   0.8290   0.7791   0.8283   0.8030
    126    0.1965    0.4449   0.8330   0.8288   0.7872   0.8075
    127    0.2097    0.4498   0.8010   0.8131   0.7457   0.7779
    128    0.2167    0.5018   0.8447   0.8414   0.7704   0.8043
    129    0.2010    0.4840   0.8453   0.8385   0.7758   0.8060
    130    0.1991    0.4979   0.8413   0.7584   0.8174   0.7868
    131    0.2084    0.4611   0.8457   0.7517   0.8199   0.7843
    132    0.1986    0.4656   0.8517   0.8188   0.8000   0.8093
    133    0.1987    0.4558   0.8554   0.8304   0.7826   0.8058
    134    0.1875    0.4270   0.8502   0.7511   0.8491   0.7971
    135    0.1957    0.4708   0.8516   0.7973   0.8075   0.8024
    136    0.1809    0.4267   0.8357   0.7769   0.7895   0.7831
    137    0.1913    0.4853   0.8402   0.8144   0.7703   0.7917
    138    0.1923    0.4755   0.8493   0.8353   0.7647   0.7984
    139    0.1876    0.4272   0.8450   0.8594   0.7515   0.8018
    140    0.1790    0.4617   0.8453   0.7882   0.7935   0.7908
    141    0.1125    0.3658   0.7972   0.7858   0.7812   0.7835
    142    0.1048    0.1668   0.8414   0.8298   0.8150   0.8223
    143    0.0952    0.1037   0.8372   0.7849   0.8228   0.8034
    144    0.0895    0.1333   0.8529   0.7838   0.8315   0.8069
    145    0.0872    0.1082   0.8482   0.8194   0.8054   0.8123
    146    0.0724    0.1050   0.8530   0.7794   0.8469   0.8117
    147    0.0756    0.0776   0.8539   0.8108   0.8435   0.8268
    148    0.0703    0.0762   0.8572   0.7900   0.8300   0.8095
    149    0.0670    0.0832   0.8599   0.8019   0.8373   0.8192
    150    0.0711    0.0766   0.8593   0.8437   0.8077   0.8253
============================================================
