epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,23.2217,1.02983,5.92194,0.03024,0.21842,0.0352,0.10737,0.07951,0.84102,8.10278,0.03745,0.000325203,0.000325203,0.000325203
2,41.6561,0.84453,2.38915,0.02443,0.31686,0.58726,0.41139,0.2833,1.14628,2.73503,0.05154,0.000655277,0.000655277,0.000655277
3,59.6235,0.86133,1.67134,0.02504,0.38719,0.49797,0.46273,0.2756,1.49803,1.93295,0.06728,0.00098205,0.00098205,0.00098205
4,77.473,0.8839,1.47455,0.02632,0.42833,0.62571,0.52896,0.41838,0.90337,1.46039,0.04082,0.00098515,0.00098515,0.00098515
5,95.8279,0.80794,1.37801,0.02339,0.36912,0.53834,0.43643,0.30157,1.21083,1.68678,0.05557,0.0009802,0.0009802,0.0009802
6,113.943,0.7945,1.36292,0.02281,0.44539,0.52033,0.42621,0.32098,0.88081,1.87266,0.03928,0.00097525,0.00097525,0.00097525
7,132.076,0.75965,1.30901,0.02162,0.57718,0.64712,0.6302,0.55239,0.58436,1.08844,0.02595,0.0009703,0.0009703,0.0009703
8,150.577,0.69358,1.29188,0.01992,0.52805,0.69081,0.66528,0.56627,0.70264,1.10121,0.03193,0.00096535,0.00096535,0.00096535
9,169.04,0.68398,1.31041,0.01947,0.63215,0.72463,0.72345,0.59664,0.76509,0.98563,0.03488,0.0009604,0.0009604,0.0009604
10,187.519,0.66818,1.23345,0.01877,0.54843,0.65069,0.59255,0.47691,0.88163,1.29902,0.03919,0.00095545,0.00095545,0.00095545
11,205.749,0.66038,1.19026,0.01857,0.50185,0.69966,0.64163,0.52416,0.79793,1.18438,0.03647,0.0009505,0.0009505,0.0009505
12,224.248,0.6636,1.19037,0.01877,0.55761,0.51453,0.61577,0.53772,0.62759,1.46386,0.02809,0.00094555,0.00094555,0.00094555
13,242.411,0.61018,1.15747,0.01683,0.5442,0.65906,0.68174,0.61158,0.51923,1.14676,0.02322,0.0009406,0.0009406,0.0009406
14,260.799,0.62693,1.20255,0.01746,0.34855,0.54135,0.4548,0.38651,0.71891,1.70284,0.03217,0.00093565,0.00093565,0.00093565
15,278.842,0.61515,1.16814,0.01741,0.65357,0.57037,0.62666,0.55526,0.51782,1.12214,0.02278,0.0009307,0.0009307,0.0009307
16,296.988,0.62041,1.19835,0.01755,0.45539,0.59232,0.52469,0.44007,0.75703,1.44709,0.03422,0.00092575,0.00092575,0.00092575
17,315.069,0.60264,1.16447,0.01673,0.52702,0.69719,0.64209,0.52601,0.73198,1.34048,0.03292,0.0009208,0.0009208,0.0009208
18,333.199,0.58093,1.17244,0.01591,0.51566,0.71092,0.60866,0.52996,0.6349,1.04805,0.02879,0.00091585,0.00091585,0.00091585
19,351.337,0.58279,1.12091,0.01588,0.50175,0.69274,0.62639,0.5442,0.62321,1.18257,0.0275,0.0009109,0.0009109,0.0009109
