epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,23.22,1.02983,5.92194,0.03024,0.21842,0.0352,0.10737,0.07951,0.84102,8.10278,0.03745,0.000325203,0.000325203,0.000325203
2,41.7328,0.86907,2.37641,0.0254,0.49303,0.47258,0.47394,0.32287,1.21152,2.74217,0.05708,0.00065419,0.00065419,0.00065419
3,59.8128,0.83364,1.7015,0.02445,0.45799,0.59587,0.50931,0.35549,1.27588,1.77253,0.06061,0.000978777,0.000978777,0.000978777
4,77.9099,0.87118,1.46114,0.02546,0.39587,0.30885,0.25037,0.16846,1.21973,2.50304,0.05704,0.0009802,0.0009802,0.0009802
5,96.1846,0.82249,1.36834,0.02426,0.4467,0.38337,0.30927,0.19656,1.37354,2.20439,0.06752,0.0009736,0.0009736,0.0009736
6,114.335,0.77224,1.3657,0.0226,0.57303,0.52128,0.57489,0.41257,1.17795,1.42611,0.05758,0.000967,0.000967,0.000967
7,132.805,0.70909,1.31495,0.02023,0.61338,0.59466,0.58394,0.46025,0.9584,1.42584,0.04277,0.0009604,0.0009604,0.0009604
8,151.338,0.71539,1.2689,0.0206,0.41665,0.52169,0.47977,0.3865,0.90017,1.5912,0.04102,0.0009538,0.0009538,0.0009538
9,169.611,0.71771,1.32085,0.0204,0.83883,0.4169,0.58715,0.45638,0.94337,1.41822,0.04483,0.0009472,0.0009472,0.0009472
10,187.865,0.72226,1.24577,0.02092,0.76241,0.46128,0.56145,0.44296,0.91863,1.46094,0.0428,0.0009406,0.0009406,0.0009406
11,206.03,0.66718,1.22415,0.01851,0.81471,0.43876,0.58674,0.47571,0.75859,1.52573,0.03427,0.000934,0.000934,0.000934
12,224.777,0.65927,1.20765,0.01829,0.4218,0.49226,0.46515,0.35949,0.85525,1.66654,0.03824,0.0009274,0.0009274,0.0009274
13,242.957,0.60669,1.16718,0.01655,0.33234,0.63879,0.45882,0.40947,0.53496,1.67829,0.02364,0.0009208,0.0009208,0.0009208
14,261.238,0.59951,1.19536,0.01653,0.44585,0.59578,0.57443,0.48837,0.70799,1.2976,0.03235,0.0009142,0.0009142,0.0009142
15,279.876,0.60508,1.18632,0.01667,0.5488,0.5312,0.55372,0.48949,0.55421,1.50255,0.0247,0.0009076,0.0009076,0.0009076
16,298.379,0.64261,1.2307,0.01814,0.55491,0.68681,0.68847,0.60329,0.56215,1.00224,0.02502,0.000901,0.000901,0.000901
17,316.896,0.62706,1.13883,0.01731,0.60744,0.68701,0.68264,0.54597,0.9191,1.1493,0.04286,0.0008944,0.0008944,0.0008944
18,335.168,0.5865,1.13325,0.01631,0.52526,0.73831,0.65902,0.55813,0.6175,1.22636,0.02763,0.0008878,0.0008878,0.0008878
19,353.458,0.56372,1.11659,0.01562,0.44123,0.62472,0.57702,0.45933,0.98493,1.2781,0.04624,0.0008812,0.0008812,0.0008812
