epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,18.6643,0.90205,5.49382,0.02873,0.35919,0.22225,0.22263,0.20556,0.45243,6.38509,0.0217,0.000325203,0.000325203,0.000325203
2,36.7347,0.73863,2.35789,0.02339,0.26666,0.39039,0.31048,0.21607,0.94771,3.11411,0.04732,0.000655929,0.000655929,0.000655929
3,54.4727,0.79375,1.72491,0.02488,0.45226,0.52532,0.40523,0.28961,1.13649,1.98545,0.05598,0.000984014,0.000984014,0.000984014
4,72.2148,0.77817,1.58223,0.02447,0.34461,0.29302,0.21362,0.17106,0.82611,2.57065,0.04105,0.00098812,0.00098812,0.00098812
5,90.0659,0.66961,1.44755,0.02048,0.46014,0.65589,0.52173,0.44918,0.61495,1.54918,0.02995,0.00098416,0.00098416,0.00098416
6,108.18,0.74141,1.37696,0.02333,0.29067,0.42528,0.33817,0.26921,0.74469,2.0749,0.03604,0.0009802,0.0009802,0.0009802
7,126.085,0.71068,1.29234,0.02189,0.51095,0.59489,0.58619,0.52639,0.44009,1.3599,0.02132,0.00097624,0.00097624,0.00097624
8,144.275,0.62772,1.27694,0.01921,0.50435,0.66098,0.5807,0.48706,0.64683,1.43251,0.03191,0.00097228,0.00097228,0.00097228
9,162.191,0.59258,1.2416,0.01785,0.54727,0.56844,0.57878,0.50811,0.57128,1.32927,0.02769,0.00096832,0.00096832,0.00096832
10,180.162,0.57132,1.25667,0.01731,0.43977,0.51846,0.44223,0.40023,0.47048,1.55035,0.02259,0.00096436,0.00096436,0.00096436
11,198.147,0.61968,1.24359,0.01904,0.54409,0.59302,0.63474,0.43188,1.32376,1.3488,0.06534,0.0009604,0.0009604,0.0009604
12,216.368,0.6381,1.22565,0.01934,0.54935,0.74432,0.63017,0.58942,0.35711,1.09696,0.017,0.00095644,0.00095644,0.00095644
13,234.698,0.58697,1.20027,0.01758,0.44838,0.53701,0.52445,0.47088,0.51558,1.39158,0.02459,0.00095248,0.00095248,0.00095248
14,252.701,0.52694,1.13673,0.01583,0.56324,0.65462,0.61385,0.56502,0.42422,1.39165,0.02044,0.00094852,0.00094852,0.00094852
15,270.746,0.5739,1.19745,0.01747,0.55497,0.55745,0.58135,0.53891,0.40947,1.32911,0.01934,0.00094456,0.00094456,0.00094456
16,288.772,0.55283,1.10449,0.01671,0.49846,0.70424,0.67121,0.61967,0.40772,1.11324,0.01946,0.0009406,0.0009406,0.0009406
17,307.136,0.52987,1.11794,0.01626,0.58954,0.69866,0.69701,0.61826,0.56994,1.0403,0.02769,0.00093664,0.00093664,0.00093664
18,325.205,0.54114,1.13866,0.01626,0.49017,0.43779,0.54804,0.47245,0.66902,1.59837,0.03353,0.00093268,0.00093268,0.00093268
19,343.291,0.49443,1.12953,0.01461,0.67087,0.63767,0.65587,0.5954,0.4539,1.29661,0.02184,0.00092872,0.00092872,0.00092872
20,361.338,0.5061,1.11249,0.01505,0.55456,0.75052,0.69143,0.634,0.46995,0.94509,0.02249,0.00092476,0.00092476,0.00092476
21,379.69,0.51723,1.09022,0.01577,0.67582,0.69694,0.73294,0.67958,0.43023,0.92397,0.02055,0.0009208,0.0009208,0.0009208
22,398.225,0.49688,1.05679,0.01462,0.59282,0.67746,0.69489,0.65348,0.37535,1.21578,0.01788,0.00091684,0.00091684,0.00091684
23,416.318,0.48833,1.10564,0.01441,0.55332,0.65471,0.68807,0.63668,0.38092,1.00308,0.0181,0.00091288,0.00091288,0.00091288
24,434.417,0.51763,1.08303,0.01553,0.5227,0.7113,0.66539,0.58895,0.55038,1.06365,0.02627,0.00090892,0.00090892,0.00090892
25,452.51,0.4937,1.065,0.01482,0.64008,0.57618,0.63635,0.58307,0.48246,1.25095,0.0235,0.00090496,0.00090496,0.00090496
26,470.588,0.47898,1.06294,0.01396,0.64557,0.60224,0.68952,0.63927,0.42694,1.07468,0.02055,0.000901,0.000901,0.000901
