epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,24.7565,1.13386,6.38653,0.03634,0.71265,0.05,0.09916,0.08723,0.33977,7.54434,0.01598,0.00325203,0.00325203,0.0707317
2,42.5976,0.68242,3.20885,0.02134,0.14614,0.35609,0.16002,0.13173,0.71479,3.69868,0.03515,0.00645498,0.00645498,0.0406013
3,60.1278,0.73232,2.12949,0.02308,0.18343,0.46078,0.22595,0.19744,0.56677,2.39437,0.02722,0.00952592,0.00952592,0.0103389
4,77.4682,0.79201,1.77737,0.02503,0.31196,0.6231,0.37782,0.31033,0.80023,1.66127,0.04005,0.009406,0.009406,0.009406
5,94.8269,0.7254,1.56852,0.0226,0.22966,0.48355,0.32859,0.25231,0.77697,1.83027,0.03864,0.009208,0.009208,0.009208
6,112.069,0.72437,1.47266,0.02218,0.31451,0.48478,0.43239,0.36262,0.72812,1.74913,0.03539,0.00901,0.00901,0.00901
7,129.515,0.67524,1.37464,0.02092,0.421,0.50943,0.46571,0.35486,0.82063,1.58186,0.03947,0.008812,0.008812,0.008812
8,146.99,0.68676,1.33927,0.02072,0.43838,0.66696,0.55899,0.48488,0.58456,1.35927,0.02883,0.008614,0.008614,0.008614
9,164.512,0.6634,1.31193,0.01977,0.49659,0.72879,0.59351,0.52987,0.43702,1.3261,0.02097,0.008416,0.008416,0.008416
10,182.051,0.63123,1.31836,0.0191,0.43327,0.67014,0.58659,0.49641,0.59333,1.32785,0.02871,0.008218,0.008218,0.008218
11,199.454,0.59242,1.2453,0.0176,0.75564,0.56016,0.66955,0.50212,0.93908,1.20173,0.0464,0.00802,0.00802,0.00802
12,216.964,0.61393,1.2264,0.0183,0.53116,0.73972,0.68985,0.55621,0.78929,1.0276,0.03885,0.007822,0.007822,0.007822
13,234.655,0.58831,1.20221,0.01749,0.48487,0.5825,0.52403,0.44733,0.72284,1.46744,0.03584,0.007624,0.007624,0.007624
14,252.069,0.57003,1.11922,0.01679,0.65674,0.49993,0.52065,0.46265,0.51241,1.42354,0.0249,0.007426,0.007426,0.007426
15,269.513,0.57935,1.18989,0.01723,0.59725,0.63861,0.68726,0.6218,0.47956,1.06649,0.02292,0.007228,0.007228,0.007228
16,287.112,0.53663,1.071,0.01538,0.50782,0.48009,0.47163,0.43597,0.38114,1.44645,0.01814,0.00703,0.00703,0.00703
17,304.554,0.53757,1.08775,0.01561,0.52795,0.63268,0.61106,0.54099,0.57887,1.18667,0.02786,0.006832,0.006832,0.006832
18,322.122,0.52652,1.10464,0.01511,0.51873,0.4657,0.52822,0.4796,0.46593,1.38648,0.0223,0.006634,0.006634,0.006634
19,339.55,0.51688,1.05686,0.01488,0.56084,0.59725,0.61747,0.56817,0.41203,1.28835,0.01971,0.006436,0.006436,0.006436
20,356.874,0.52244,1.03874,0.01489,0.60245,0.66867,0.69115,0.60801,0.55678,1.03459,0.02697,0.006238,0.006238,0.006238
21,374.218,0.50977,0.97205,0.01449,0.60851,0.68258,0.65346,0.58657,0.51756,1.05454,0.02523,0.00604,0.00604,0.00604
22,391.674,0.497,0.99351,0.01394,0.61358,0.65136,0.68321,0.65536,0.30933,0.97231,0.01462,0.005842,0.005842,0.005842
23,409.233,0.4683,1.03305,0.01325,0.62817,0.77368,0.72739,0.70195,0.29704,0.86371,0.01408,0.005644,0.005644,0.005644
24,426.932,0.48226,0.99217,0.01368,0.72425,0.71306,0.75505,0.69872,0.41461,0.78614,0.01993,0.005446,0.005446,0.005446
25,444.377,0.47697,0.97464,0.01365,0.67101,0.70632,0.74007,0.72152,0.30454,0.84976,0.01428,0.005248,0.005248,0.005248
26,461.954,0.45193,0.95452,0.01274,0.64764,0.71173,0.74687,0.74194,0.23512,0.84287,0.01104,0.00505,0.00505,0.00505
27,479.577,0.44539,0.95433,0.01251,0.66257,0.65654,0.7131,0.69065,0.25386,0.92062,0.01199,0.004852,0.004852,0.004852
28,497.092,0.44959,0.95865,0.01256,0.7482,0.65567,0.76859,0.74242,0.30928,0.82988,0.01462,0.004654,0.004654,0.004654
29,514.786,0.43682,0.87917,0.01199,0.66193,0.58668,0.68292,0.65794,0.31149,1.08259,0.0147,0.004456,0.004456,0.004456
30,532.267,0.41648,0.94799,0.01163,0.6854,0.78257,0.7634,0.71866,0.37807,0.85985,0.01799,0.004258,0.004258,0.004258
31,549.888,0.38893,0.88938,0.01081,0.78146,0.7153,0.79922,0.77476,0.28781,0.7967,0.0135,0.00406,0.00406,0.00406
32,567.743,0.42535,0.93348,0.01188,0.68867,0.72781,0.78873,0.773,0.28353,0.79003,0.01342,0.003862,0.003862,0.003862
33,585.298,0.36856,0.84716,0.01013,0.71527,0.64317,0.75487,0.72264,0.33392,0.84237,0.01593,0.003664,0.003664,0.003664
34,603.656,0.37955,0.89825,0.01074,0.74354,0.72295,0.80298,0.79208,0.24784,0.73314,0.0117,0.003466,0.003466,0.003466
35,624.623,0.35917,0.85714,0.00983,0.68737,0.74206,0.77616,0.77106,0.26852,0.81695,0.0127,0.003268,0.003268,0.003268
36,642.237,0.35862,0.84375,0.00979,0.70925,0.64626,0.74727,0.74469,0.22693,0.89733,0.01075,0.00307,0.00307,0.00307
37,659.789,0.34517,0.84308,0.00937,0.65938,0.74804,0.78522,0.77955,0.18062,0.87791,0.00836,0.002872,0.002872,0.002872
38,677.3,0.31137,0.78473,0.00846,0.70073,0.71604,0.76831,0.76636,0.18127,0.83937,0.00851,0.002674,0.002674,0.002674
