epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,23.0204,1.13386,6.38653,0.03634,0.71265,0.05,0.09916,0.08723,0.33977,7.54434,0.01598,0.00325203,0.00325203,0.0707317
2,40.525,0.7039,3.23199,0.02209,0.14577,0.2829,0.1368,0.11194,0.66049,3.7944,0.03202,0.00652017,0.00652017,0.0406665
3,58.032,0.72653,2.17279,0.02306,0.17269,0.43788,0.20916,0.15295,0.91302,2.58718,0.04559,0.00972231,0.00972231,0.0105353
4,75.4409,0.80644,1.83102,0.02574,0.19277,0.47253,0.29411,0.22362,0.89132,1.96681,0.04478,0.009703,0.009703,0.009703
5,92.8292,0.73562,1.55377,0.02316,0.2809,0.39892,0.32998,0.26345,0.89579,1.98096,0.04418,0.009604,0.009604,0.009604
6,110.263,0.73002,1.48913,0.02273,0.3277,0.56249,0.40017,0.32972,0.71608,1.70747,0.0344,0.009505,0.009505,0.009505
7,127.716,0.67543,1.3839,0.02061,0.469,0.40123,0.434,0.37298,0.5218,1.55738,0.02479,0.009406,0.009406,0.009406
8,145.317,0.63691,1.35753,0.01908,0.43675,0.64874,0.54064,0.47818,0.52808,1.31155,0.02592,0.009307,0.009307,0.009307
9,162.788,0.63486,1.30408,0.01904,0.14284,0.42416,0.2275,0.18594,0.78078,2.1644,0.03836,0.009208,0.009208,0.009208
10,180.129,0.60711,1.28717,0.01809,0.53261,0.61974,0.58555,0.52139,0.4565,1.17711,0.02185,0.009109,0.009109,0.009109
11,197.704,0.59755,1.25513,0.01772,0.52699,0.47757,0.50079,0.41221,0.7409,1.53653,0.03604,0.00901,0.00901,0.00901
12,215.276,0.62546,1.2513,0.01863,0.65192,0.65281,0.66336,0.58722,0.47726,1.1428,0.02284,0.008911,0.008911,0.008911
13,232.961,0.5842,1.20231,0.01715,0.49002,0.51028,0.53908,0.48263,0.5176,1.2715,0.02489,0.008812,0.008812,0.008812
14,250.376,0.55712,1.14602,0.01641,0.40373,0.55886,0.49956,0.41621,0.67913,1.37316,0.03349,0.008713,0.008713,0.008713
15,267.799,0.59149,1.2135,0.01775,0.50095,0.53471,0.51765,0.37942,1.10045,1.3437,0.05453,0.008614,0.008614,0.008614
16,285.19,0.58867,1.08494,0.01735,0.55084,0.56258,0.60106,0.54483,0.45222,1.24937,0.02183,0.008515,0.008515,0.008515
17,302.632,0.56,1.12271,0.01651,0.59229,0.52216,0.60159,0.55765,0.40291,1.20202,0.01927,0.008416,0.008416,0.008416
18,320.095,0.53954,1.10508,0.01579,0.5565,0.65311,0.63658,0.5791,0.38641,1.11084,0.01841,0.008317,0.008317,0.008317
19,337.553,0.52867,1.0769,0.0153,0.47589,0.59213,0.53982,0.46874,0.60316,1.54307,0.02982,0.008218,0.008218,0.008218
20,354.915,0.52272,1.0475,0.01499,0.57382,0.67232,0.64518,0.59125,0.43973,1.17684,0.02107,0.008119,0.008119,0.008119
21,372.429,0.51805,1.02531,0.0149,0.58062,0.54954,0.56013,0.50747,0.47709,1.25938,0.02308,0.00802,0.00802,0.00802
22,389.97,0.524,1.03108,0.01515,0.58667,0.70823,0.69538,0.62341,0.47243,1.0187,0.02269,0.007921,0.007921,0.007921
23,407.727,0.50275,1.05164,0.01451,0.53593,0.58919,0.60753,0.57566,0.35318,1.11415,0.01683,0.007822,0.007822,0.007822
24,425.168,0.50895,1.00842,0.01469,0.53054,0.5878,0.53006,0.49006,0.37628,1.33229,0.01783,0.007723,0.007723,0.007723
25,442.622,0.51147,1.00781,0.01484,0.6327,0.68353,0.68162,0.65038,0.30785,1.07709,0.01456,0.007624,0.007624,0.007624
26,460.28,0.48374,1.00425,0.01371,0.57191,0.67244,0.67268,0.61492,0.48343,1.06001,0.02333,0.007525,0.007525,0.007525
27,477.79,0.49704,0.96761,0.01423,0.64736,0.67253,0.69599,0.61209,0.50183,1.08049,0.02428,0.007426,0.007426,0.007426
28,495.454,0.49568,1.02928,0.01402,0.4877,0.70154,0.62915,0.55461,0.50463,1.17358,0.02446,0.007327,0.007327,0.007327
29,513.009,0.48776,0.92802,0.01355,0.48925,0.69499,0.61176,0.5347,0.52929,1.15641,0.02558,0.007228,0.007228,0.007228
30,530.541,0.47886,0.98302,0.01362,0.61257,0.55018,0.60067,0.54371,0.41429,1.23544,0.01977,0.007129,0.007129,0.007129
31,549.909,0.47155,0.92449,0.01317,0.68186,0.68684,0.72175,0.65831,0.43204,0.88452,0.02068,0.00703,0.00703,0.00703
32,568.437,0.49683,1.01035,0.01414,0.66223,0.60791,0.66897,0.59552,0.49141,1.12318,0.02417,0.006931,0.006931,0.006931
33,585.963,0.45959,0.90688,0.01297,0.62567,0.68009,0.74358,0.67904,0.41501,0.94387,0.02006,0.006832,0.006832,0.006832
34,603.837,0.45827,0.96982,0.01321,0.6484,0.69639,0.71382,0.61301,0.69122,0.94445,0.03408,0.006733,0.006733,0.006733
35,621.727,0.45375,0.93028,0.01295,0.53825,0.42086,0.48764,0.44959,0.3976,1.58484,0.01913,0.006634,0.006634,0.006634
36,639.269,0.45874,0.92559,0.01279,0.56344,0.70597,0.67676,0.65026,0.3346,0.95398,0.01597,0.006535,0.006535,0.006535
