epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,22.7845,1.13386,6.38653,0.03634,0.71265,0.05,0.09916,0.08723,0.33977,7.54434,0.01598,0.00325203,0.00325203,0.0707317
2,40.3431,0.69977,3.26271,0.02196,0.13638,0.34448,0.17032,0.13534,0.85694,3.88428,0.04252,0.0065419,0.0065419,0.0406882
3,57.8705,0.71937,2.19682,0.02289,0.15911,0.31497,0.18374,0.1311,0.92704,2.82743,0.04596,0.00978777,0.00978777,0.0106008
4,75.0495,0.78642,1.87742,0.025,0.17489,0.45067,0.24201,0.14365,1.55194,2.20593,0.07973,0.009802,0.009802,0.009802
5,92.4123,0.73262,1.58388,0.0232,0.24052,0.51962,0.32985,0.2522,0.88808,1.74942,0.04489,0.009736,0.009736,0.009736
6,109.813,0.75251,1.54172,0.02318,0.3309,0.4489,0.38652,0.32149,0.65933,1.69697,0.03233,0.00967,0.00967,0.00967
7,127.268,0.6888,1.45841,0.02115,0.40766,0.50803,0.49538,0.33856,1.06267,1.59526,0.05116,0.009604,0.009604,0.009604
8,144.824,0.64094,1.38139,0.01917,0.13984,0.27439,0.12869,0.10991,0.52357,2.73828,0.02491,0.009538,0.009538,0.009538
9,162.121,0.63103,1.33527,0.01881,0.36727,0.57181,0.49303,0.38391,0.82129,1.48286,0.03944,0.009472,0.009472,0.009472
10,179.627,0.62514,1.32377,0.01902,0.47893,0.67972,0.60832,0.53701,0.49307,1.15255,0.02383,0.009406,0.009406,0.009406
11,197.131,0.62089,1.29461,0.01858,0.27861,0.46359,0.28637,0.25129,0.60279,2.07666,0.02918,0.00934,0.00934,0.00934
12,214.594,0.62815,1.28991,0.01901,0.57802,0.45945,0.50528,0.45577,0.46433,1.44966,0.02247,0.009274,0.009274,0.009274
13,232.041,0.60963,1.26933,0.01826,0.45964,0.68772,0.61862,0.54802,0.5261,1.16598,0.02545,0.009208,0.009208,0.009208
14,249.548,0.57186,1.18506,0.01686,0.50216,0.51099,0.54538,0.50744,0.36653,1.34986,0.01738,0.009142,0.009142,0.009142
15,266.911,0.59497,1.23772,0.01767,0.30873,0.56033,0.44572,0.40427,0.45795,1.59847,0.02179,0.009076,0.009076,0.009076
16,284.262,0.57152,1.11889,0.01657,0.53706,0.56029,0.59056,0.53762,0.44797,1.16465,0.02156,0.00901,0.00901,0.00901
17,301.644,0.55541,1.15323,0.01666,0.61467,0.55006,0.65112,0.59408,0.4495,1.19282,0.02129,0.008944,0.008944,0.008944
18,319.32,0.54847,1.18128,0.01614,0.71461,0.63447,0.71274,0.62552,0.56051,1.06502,0.02726,0.008878,0.008878,0.008878
19,336.82,0.55304,1.12146,0.01624,0.59237,0.60323,0.62776,0.547,0.56728,1.2119,0.02774,0.008812,0.008812,0.008812
20,354.163,0.52716,1.08492,0.01527,0.39139,0.61505,0.53698,0.48049,0.51071,1.3447,0.02456,0.008746,0.008746,0.008746
21,371.543,0.53693,1.04147,0.01562,0.48495,0.58368,0.54404,0.49833,0.42891,1.41029,0.02058,0.00868,0.00868,0.00868
22,389.097,0.52142,1.07104,0.01515,0.5953,0.70016,0.67224,0.61003,0.44455,1.00538,0.02149,0.008614,0.008614,0.008614
23,406.48,0.52054,1.1111,0.01508,0.42038,0.70266,0.49996,0.43446,0.59381,1.55378,0.02884,0.008548,0.008548,0.008548
24,423.996,0.52092,1.07545,0.01539,0.69853,0.77823,0.78658,0.72258,0.44191,0.77777,0.02125,0.008482,0.008482,0.008482
25,442.037,0.51851,1.05376,0.01492,0.59247,0.69877,0.67866,0.59551,0.54454,1.08187,0.02579,0.008416,0.008416,0.008416
26,459.49,0.48812,1.06513,0.0139,0.54972,0.70681,0.67044,0.61513,0.4183,1.13477,0.01994,0.00835,0.00835,0.00835
